,n,use_location,use_scale,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,MSE_EBCF,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG
13,100,False,True,0.009615633136055004,0.06900133551260453,0.00801162980495175,0.06900186003104576,0.06292355332809967,0.0690030625701282,0.017032941583455582,-0.17747040109781725,-0.1377530713100318,-0.1769619629554771,-0.13775360014366306,0.6630902222078825,-0.1258186054929208
14,100,False,True,0.09026644514807482,0.10581387873997933,0.02755250987144758,0.10579905476758532,0.07673077976001001,0.05889018298507131,0.03337581684677016,-0.17206830628464417,-0.03726794163969487,-0.11818834960944324,-0.0372783008823388,0.5486575111839476,0.008913421369725893
15,100,False,True,0.06832058254106052,0.05055936415247795,0.0018024312705219728,0.050552651354707656,0.059170677188855575,0.05243413817774501,0.0455284141214227,-0.14745800489357666,-0.05149139298630736,-0.08522447681711193,-0.05151753474899195,0.683523594052277,-0.03609843591605455
16,100,False,True,0.04545945928896055,0.07723074250250757,0.018204518614345206,0.07399142769015349,0.1395651284213366,0.07777388043120624,0.04061157493108787,-0.11731024945495067,-0.033180242668137794,-0.08276756578560195,-0.03329618027846792,0.6745417385977881,-0.0207914138102393
17,100,False,True,0.18158842723430957,0.08003108089966701,0.07853258681140252,0.08000006384525614,0.10230283095497232,0.07896145217034779,0.09340358463610536,-0.11420203037170051,-0.009607754296944649,-0.018834189468533654,-0.009617676325573327,0.16894720562495658,0.014175944860840006
18,100,False,True,0.08188374453633837,0.08464957847529955,0.02149940613177131,0.08472476397225595,0.11021137608582339,0.05344692378810782,0.03541966946065502,-0.11479187685631244,0.03064782784933314,-0.05214086216145991,0.03063286224642802,0.7954378226781214,0.06476767503731218
19,100,False,True,0.12158688859415631,0.06237791685260245,0.0047428836985816784,0.06237519448079871,0.07896199147087858,0.05450936172662,0.07640055037462194,-0.16012886852984154,-0.030928086706924065,-0.08177761537109463,-0.03093936181433044,0.4253742090692899,-0.007784025659430149
20,100,False,True,0.10229370458489374,0.04857302240775899,0.02575803281831171,0.048577873073784285,0.07167125512426623,0.04704445065290472,0.05774173692721476,-0.13912677275524435,0.06892560591343909,-0.05517246844579383,0.06891466755990215,0.8570904096602038,0.08846426528249302
21,100,False,True,0.08265239378681571,0.052105869132858765,0.007361048629684706,0.05210259925727113,0.059833632877769966,0.047768208672016275,0.014130121435182713,-0.114511055704335,0.006905649366795572,-0.063076906043763,0.006895791521818708,0.30853325055483155,0.02363195347711744
22,100,False,True,0.2331016379564272,0.13097606468571726,0.04398210078111517,0.10994162006241424,0.08658138217725338,0.08015616790903313,0.050437853719728,-0.16815321873389694,0.040570960134937196,-0.02374500431867899,0.041717805201853295,0.6058719967308356,0.0730049664082264
23,100,False,True,0.17272967814619605,0.07062610364382407,0.05154093716557043,0.07063291200160755,0.08692084359089741,0.05613368401109638,0.0758518738822793,-0.12919879346876267,0.12083790503965645,-0.016929105653954297,0.12082326443330658,0.6968462409040584,0.14671200848689608
24,100,False,True,0.22300536017429404,0.18290407146135812,0.012043811905757668,0.12333202618222566,0.07533545294826165,0.05343580329741443,0.09973233778258081,-0.1051485932250711,0.1121563012071431,0.06243089819470833,0.11774812937233264,0.5381155902216517,0.15100438365148933
25,100,False,True,0.07325209084599173,0.06296336972376189,0.005986438590805021,0.06254711382601932,0.077703069050181,0.06467533444645417,0.02669200094854309,-0.07184109603302076,0.007277200353969704,-0.024939269585045887,0.007200096603818836,1.1678413860115318,0.02235431505604657
26,100,False,True,0.056403606235576775,0.052447580218669076,0.0034347430757391537,0.052449514752307975,0.07423496428091166,0.055526529494657174,0.011463564134421851,-0.1425042915129381,-0.020282966650265948,-0.10231314889155979,-0.02028979617599866,0.5808057950415575,-0.0029919433309558707
27,100,False,True,0.07654183772714726,0.05219678569893099,0.0020271715873441953,0.05220180192590181,0.06466657076483207,0.049437124353415254,0.08750415206879328,-0.11364376845138141,-0.00803834486161719,-0.05052370145629009,-0.008060219359486922,0.5246225566567059,0.006012611732741813
28,100,False,True,0.15181952257573944,0.09751274209257668,0.011060360361369363,0.09728709242362185,0.13852192516854772,0.07046728673906208,0.05001497917652949,-0.15120720733175477,0.004954218833168156,-0.054071385802978295,0.004909496695910747,0.6777140716846111,0.02756586479646994
29,100,False,True,0.172197780278798,0.07860763667115911,0.010917272028302737,0.07861511989598212,0.11738010309230944,0.06666071938934381,0.04594255299655359,-0.06820593795259129,0.09390357385199906,0.055360735296928254,0.09389458222433994,0.6437990625221569,0.12092573194873651
30,100,False,True,0.11714457946709253,0.1901536815157124,0.00242385052684572,0.06663363649697546,0.099120319446771,0.0598605647192931,0.03466855994084021,-0.10176079763257352,0.046983229623289234,0.023986656732572546,0.08366798313975388,0.2523473460603685,0.11326642705043038
31,100,False,True,0.18899965468561108,0.11684763580828,0.014813861784507594,0.11671205619868896,0.11166330534182478,0.07140456572313346,0.0917945524217142,-0.07154455813314395,0.05728406907388951,0.07624501178621032,0.05728717293778097,0.6085836310960999,0.11056035911539264
32,100,False,True,0.025512598730683376,0.059147380271012934,0.000725845241157244,0.05914373654895294,0.08160513458382711,0.06238209389615396,0.00205833813935852,-0.15868305099464305,-0.0652360338742141,-0.1294624836802692,-0.06524397583958162,0.727101123021592,-0.047297372150406025
33,100,False,True,0.014403747668465543,0.06980757515769198,0.004716004335612872,0.06980609998072079,0.07813069381308108,0.0755260836319391,0.013092885280061159,-0.13515223504666132,-0.07032235757011755,-0.12369251022518993,-0.07034565049301109,0.13551214577211695,-0.05743340873083558
34,100,False,True,0.21697961255951845,0.10467988468968904,0.021877066434661713,0.10468321910448132,0.12348640134603066,0.07034735457188454,0.09718761527041223,-0.08023804173874714,0.05172852061251909,0.050511698084101636,0.05171390154352323,0.6723089252368678,0.08750227163658192
35,100,False,True,0.43889359303092723,0.25540245206841616,0.2061829445272535,0.25535549374611033,0.10954214072282951,0.18891378080188762,0.24614078292948874,0.022475980305066826,0.21428623163492,0.18794315409116613,0.2142809727617931,0.43674176039643653,0.24591629203964976
36,100,False,True,0.058871607805188936,0.058887146652889494,0.022625468773905172,0.058873421656203885,0.08862742895671953,0.061850143035326814,0.06383699436721105,-0.02438707599041586,-0.024372159944102096,-0.06898811386630122,-0.024391520476364194,0.23001667260378483,-0.010268937248927634
37,100,False,True,0.3110905776936189,0.13336018607789824,0.06249103653122632,0.13341129061239487,0.10672132844179386,0.08643040181319817,0.08431596946106375,0.021429036572779878,0.12348159222773482,0.07009413109021555,0.1234619796503501,0.4476887103150431,0.1600260707275472
38,100,False,True,0.13520972764811634,0.08875475312520324,0.03336225438813781,0.08861429882504185,0.08930593380548998,0.06122055793293125,0.05216563125110478,-0.042682293541387674,0.04782138963783716,0.02969612534025337,0.04780190408099664,0.30026759228706384,0.08381965474237468
39,100,False,True,0.14232282552244646,0.050364424020628275,0.009582353349308584,0.050349847389415885,0.05143200947112016,0.04593062610969268,0.045855910900577036,-0.08138627801881981,0.09836628076709147,0.028157511233340832,0.09831617371319226,0.8785730613802505,0.11084733209067027
40,100,False,True,0.19276985248433745,0.06891149935472447,0.02132376539642159,0.0689084222500293,0.11363659361267625,0.07958627997572885,0.05202451635756539,-0.1534453461742512,0.018475404747100795,-0.020003602654978036,0.018472160908033147,0.4820126866306012,0.03379840727274358
41,100,False,True,0.0949812979456433,0.08130656851760841,0.007202148634543634,0.08131099407975763,0.09321059175049175,0.06810497971897617,0.03285367308212512,-0.0511841380215478,0.030739642626778477,0.017515147724481598,0.03073558002507653,0.5963990129007541,0.059833309569933046
42,100,False,True,0.21271238125201183,0.07663376741555203,0.08958553416304131,0.07663469006929134,0.14590343725484037,0.08338182060531155,0.04521794658889793,-0.09681057720305944,0.07121581230950084,-0.015607876936876597,0.07121298261830006,0.6703643577435995,0.09447081134055224
43,100,False,True,0.1798270058097215,0.08583437696069864,0.005824927575242489,0.08565566635323973,0.08367891682016278,0.05584037365109437,0.03609192671412919,-0.05055758677176577,0.07164133937113747,0.040080297508581095,0.0716453329240575,0.6975016266861844,0.10135912670268882
44,100,False,True,0.09990652451618313,0.07231161521977017,0.02383008880186469,0.09745574186705282,0.12406011750769523,0.07803588406167968,0.03472694113641226,-0.07977350156417981,0.023397187532319563,-0.005480268884318485,0.01654115545296527,0.4320795449887898,0.035208971262304045
45,100,False,True,0.051647507859300966,0.0573244999490867,0.0019706603100492007,0.05732189455453251,0.09239688279790742,0.06205403134074516,0.01781005354372731,-0.12051644211395307,-0.006640914631101183,-0.06761475790223859,-0.006642572124790576,0.5459548133610219,0.006307272058674096
46,100,False,True,0.20352833113233915,0.08471778052335376,0.007953947966421708,0.08470080302529873,0.07040487692526164,0.05588531478209521,0.025731907262234305,-0.08753737306689577,0.04908928622773793,0.016300164940867685,0.049083097079323824,0.801714025202754,0.0772410404877702
47,100,False,True,0.03599063994293248,0.05357379836506987,0.05553265032960816,0.05357049105445432,0.06088456733934791,0.05408723797807727,0.015595660983571397,-0.09901204799551976,0.02149343941210944,0.02280253739285539,0.02148814124263808,0.45517585772421026,0.03403273395351636
48,100,False,True,0.05255378815746494,0.13219253996826782,0.02157976369187228,0.1322023528241851,0.14373890024023037,0.08436486609147212,0.041031445939198385,-0.04896942305538799,-0.038243573151461874,-0.057627997725069914,-0.03824669505457436,0.5080358669569427,-0.001225507069480103
49,100,False,True,0.07116804166676668,0.05968422115702077,0.01986072618294845,0.05968278857709531,0.1410870837893622,0.07297466121221947,0.033467674686879625,-0.15520304320597744,0.0037016665256137315,-0.10278819261029205,0.0037016125821057247,0.5825032547304642,0.016115577888264454
50,200,False,True,0.025608408313492047,0.06091188314503387,0.0028421444962834956,0.06088869627709002,0.07997147622477409,0.06005225551096953,0.023390807447510476,-0.02860610061363815,0.04824702297050578,-0.0036393201196880656,0.04818447317372474,0.7504751367711813,0.055728040887171315
51,200,False,True,0.07090777785337736,0.05734934130270768,0.006229842561691779,0.057387445805888906,0.07728342803169197,0.05632840314773214,0.019302853947875398,-0.03671970816761834,0.034662034636798754,0.003653817997331066,0.03460594635288615,0.47904581384879136,0.044163324148287164
52,200,False,True,0.00844939376917898,0.05344200255546677,0.0041250469919362235,0.05343586166875504,0.09259690771744383,0.05927502016517438,0.020918669217039897,-0.04558750160374176,0.02899544989398109,-0.041155486436991774,0.029000476350914326,0.8402007247052058,0.03726148376270966
53,200,False,True,0.027873296813731838,0.06074576870814893,0.005050655679706484,0.05984129868744455,0.08387043663893927,0.06274796712552608,0.03600814630778161,-0.1089800365021436,-0.049396120841789896,-0.08812157765184911,-0.049425177874233416,0.6825917964625988,-0.04044437464382172
54,200,False,True,0.046749055485061516,0.047048542924103834,0.027656340004374003,0.04637239607219809,0.09425900301917688,0.052926619781015594,0.03055299762643876,-0.10681053235986239,0.024997257339617465,-0.09340163448681005,0.02471533381204587,0.7108852059113501,0.03311282568700935
55,200,False,True,0.07826307910342262,0.07885201598094736,0.018720349866613074,0.07884761921722315,0.06865907556231406,0.06537415352383752,0.0488369416008083,-0.0376867526195152,0.04593234884058447,0.003693257525303464,0.04592738764502748,0.7333641593218158,0.061219691347314475
56,200,False,True,0.031023177826800162,0.05529812054947189,0.0036690996102362035,0.054285844072149037,0.07238845528138044,0.04936764872646321,0.006886666240585442,-0.09803718203425031,0.007556845679634279,-0.0693261795201589,0.007442441520464626,0.9216617414622877,0.01585532772712578
57,200,False,True,0.10986079944422658,0.08793356565702064,0.011030429853139118,0.13629986410022824,0.09130056781538842,0.05512152443100037,0.01993629006160879,-0.08182071310227179,0.06452151339731799,0.009889946362261872,0.04226205634578726,0.17975949106210215,0.08608373720629753
58,200,False,True,0.006591704342549595,0.05920869622123049,0.004120511090134124,0.05920157586035766,0.06889630952692452,0.05932929684045136,0.013263177884482374,-0.07280974625584584,-0.005079116756753734,-0.06883688271518673,-0.005084752326464326,0.606532018079831,0.0010441503001832886
59,200,False,True,0.2521903715812135,0.2056497399032352,0.0061390800592394535,0.19392115788767605,0.07898782355332473,0.056019762283908994,0.04084306655594653,-0.16403271611820383,-0.005076277758561645,0.017847420285001084,-0.016233575110985186,0.5860442698303087,0.05488330785435058
60,200,False,True,0.013722340112552925,0.07056081810625375,0.005267064193008217,0.08743823764682214,0.0800005110001092,0.052176451460965056,0.0185477516984669,-0.012696821385255658,0.06314337674505183,-0.010736989349797903,0.038508807917088744,0.8453042624240337,0.07723773569231396
61,200,False,True,0.038511045596725926,0.054902330452252096,0.016464204008150133,0.05506444513734993,0.06821670110566175,0.049619823948089815,0.024837772670550328,-0.09041577897869109,0.040394353819232905,-0.06439263134818615,0.04006697699716547,0.5837212329011013,0.04859852783266372
62,200,False,True,0.0736404827539927,0.06587844352655928,0.007402036160392681,0.0658902175865705,0.07834765774875961,0.0522508651129213,0.03342183242775161,-0.021542205150040447,0.07542915459584591,0.039111777024697314,0.07539064017469549,0.6515132820746249,0.09405603950445618
63,200,False,True,0.08076736256055214,0.04896770602570429,0.005296812859858902,0.04899842308747284,0.093886283893194,0.05355707759421469,0.01031390275100268,-0.10213869453259893,0.04017072497734077,-0.044898742625152775,0.04011747301859025,0.6908453512920638,0.05101432903417319
64,200,False,True,0.07277864865402638,0.09611048253593898,0.012963445435259468,0.09613807671656983,0.1305295924695382,0.07442589976454146,0.029555709059766032,-0.012161964098947627,0.053608762319368425,0.031013895804665542,0.053598468366849804,0.5410361044847296,0.07951646529635331
65,200,False,True,0.102102029465471,0.0881843779892539,0.026422441686416373,0.0881645111429438,0.10990933229511518,0.0586070401008578,0.0099980696716548,-0.034782136180440265,0.0725761069247217,0.030477824307178374,0.0725758400941195,0.5240061431501035,0.10833953067054747
66,200,False,True,0.03960931028273304,0.059839362347880794,0.0028383010335533577,0.05770406607181641,0.06516108201554982,0.05985137278812962,0.026148407862585175,-0.10880283054788975,-0.020403376443854173,-0.06876388455874412,-0.020507039787566867,0.7500074508338938,-0.014760233033814685
67,200,False,True,0.0807991082475122,0.08437898456091228,0.011016583742636104,0.08446090797561151,0.11901834629813005,0.06735743517157662,0.021361456323587845,-0.04409745532884521,0.034869119613288146,0.009411884701242674,0.03485582408721435,0.6445649053045992,0.05585981158260894
68,200,False,True,0.1253119785372924,0.057091132675898354,0.036196175241939424,0.08067244384916694,0.0919559975192007,0.05848685956264028,0.012209389853152392,-0.03909603297042744,0.08351953492211124,0.01648141586260026,0.07096094378912618,0.6879795385715204,0.09377250937554144
69,200,False,True,0.014305016429558906,0.06241406575890138,0.012298513460885901,0.06267465713330252,0.08946133748170278,0.054675829875954214,0.022350560404234512,-0.058325152962511125,0.046568152498650976,-0.054244874245938365,0.04656696625328536,1.0494424370451763,0.06429295400558471
70,200,False,True,0.15252719761595862,0.11516863099610772,0.032344875291916673,0.06853400841945895,0.06701447459954803,0.045872860250680894,0.047959650961591646,-0.11397468798718512,0.061461651253968345,-0.033817544138979964,0.07164696294576416,0.6581178371239684,0.09268904739063277
