,n,hidden_sizes,experiment,MSE_wellspec,SURE_wellspec,data
93,100,"(4,)",i,5.470467851404846,6.3423830708541775,test
94,100,"(4, 4)",i,5.915227909676831,7.6743784755281865,test
95,100,"(6,)",i,6.866381944028231,6.6810209051931135,test
96,100,"(6, 6)",i,6.543896087841948,6.799549845850189,test
97,100,"(8,)",i,8.990583319486475,8.857514786350801,test
98,100,"(8, 8)",i,6.42884094642257,7.289757827921853,test
99,100,"(10,)",i,8.056020252110809,7.795294029595748,test
100,200,None,c,0.010634918372550671,-0.04764620143519913,test
101,200,"(2,)",c,0.009459447986330609,-0.06860250023085757,test
102,200,"(2, 2)",c,0.05242125637649635,0.005144815361018491,test
103,200,"(4,)",c,0.02073137300295244,-0.04937656064083357,test
104,200,"(4, 4)",c,0.008279524544454724,-0.06811568717375216,test
105,200,"(6,)",c,0.0469875872599377,0.0067510859810981086,test
106,200,"(6, 6)",c,0.035307872811444124,-0.00018275542662770316,test
107,200,"(8,)",c,0.04455767911247359,0.004558535874112209,test
108,200,"(8, 8)",c,0.09357465565364013,-0.014494918592543269,test
109,200,"(10,)",c,0.02755317586819407,-0.03521140801215278,test
110,200,None,i,4.266792938421591,5.521903367167518,test
111,200,"(2,)",i,3.781592829216623,4.508532551284987,test
112,200,"(2, 2)",i,3.119934065299581,3.6736730958388892,test
113,200,"(4,)",i,4.733288238324957,5.940485679909099,test
114,200,"(4, 4)",i,5.814070420799566,6.870321734007286,test
115,200,"(6,)",i,4.685735285669473,5.139279656952793,test
116,200,"(6, 6)",i,3.5773688704189475,4.27669708199572,test
117,200,"(8,)",i,4.500436374236101,5.865623948971963,test
118,200,"(8, 8)",i,3.4237978698224705,4.421218504792828,test
119,200,"(10,)",i,4.206660546206094,4.282156840971359,test
120,400,None,c,0.0064291891913727285,0.07925855159353737,test
121,400,"(2,)",c,0.00954983995940021,0.08295407465194166,test
122,400,"(2, 2)",c,0.006291859532580229,0.07910088743604439,test
123,400,"(4,)",c,0.0065684212880741735,0.07987459213216955,test
124,400,"(4, 4)",c,0.011127411053340374,0.07888208068358843,test
125,400,"(6,)",c,0.0061979146175003726,0.08173262405026645,test
126,400,"(6, 6)",c,0.006560263921734438,0.07963376561028114,test
127,400,"(8,)",c,0.008958277532388547,0.07994594054244016,test
128,400,"(8, 8)",c,0.016304228571710575,0.0908723343412235,test
129,400,"(10,)",c,0.00883505597368126,0.0800889522745662,test
130,400,None,i,3.055593414760557,3.5808373403229803,test
131,400,"(2,)",i,3.061040835215894,3.2208260543317024,test
132,400,"(2, 2)",i,3.342912218619647,4.023702561124398,test
133,400,"(4,)",i,2.994955256577671,2.994636316044281,test
134,400,"(4, 4)",i,4.321352869205769,4.089953967699211,test
135,400,"(6,)",i,3.567135423867528,3.4002489877627515,test
136,400,"(6, 6)",i,3.6940737821761873,4.324350628497546,test
137,400,"(8,)",i,3.3850400017459226,3.8832847736175653,test
138,400,"(8, 8)",i,3.433503841995086,3.6641063318525937,test
139,400,"(10,)",i,2.864593616086889,3.386136041371819,test
140,800,None,c,0.0037163639167669604,0.0017190148690978202,test
141,800,"(2,)",c,0.004015731905618393,0.001710819235463874,test
142,800,"(2, 2)",c,0.004374666631567629,0.0028280914769630507,test
143,800,"(4,)",c,0.003972657273207209,0.001964028713070599,test
144,800,"(4, 4)",c,0.0055116472971331164,0.003733670036274694,test
145,800,"(6,)",c,0.0038969337039006964,0.0012879891208191652,test
146,800,"(6, 6)",c,0.012409027974513542,0.009464202119111715,test
147,800,"(8,)",c,0.0035869501139478787,0.0009245250711342679,test
148,800,"(8, 8)",c,0.011066247913762251,0.005836643861086255,test
149,800,"(10,)",c,0.004646936373372426,0.0031511323439219864,test
150,800,None,i,2.606729557049653,2.51772480548108,test
151,800,"(2,)",i,2.098229583353033,2.188004683995585,test
152,800,"(2, 2)",i,2.5585020333254738,2.6382198988708256,test
153,800,"(4,)",i,2.7085195696605977,2.7115541250691355,test
154,800,"(4, 4)",i,2.521740703042451,2.31565695393846,test
155,800,"(6,)",i,2.3167003365300403,2.481139156320137,test
156,800,"(6, 6)",i,2.1750227129778676,2.0743444387133354,test
157,800,"(8,)",i,2.9724625813811367,2.7483287938126377,test
158,800,"(8, 8)",i,2.2989797431859818,2.4674586495892936,test
159,800,"(10,)",i,2.1010577727770103,2.180638088758251,test
0,100,None,c,0.02010516497342961,-0.15184891566076564,train
1,100,"(2,)",c,0.028449826588957148,-0.156178014388453,train
2,100,"(2, 2)",c,0.03921465209499788,-0.16569864412426796,train
3,100,"(4,)",c,0.03335601015826797,-0.16017738919502805,train
4,100,"(4, 4)",c,0.015831320641183647,-0.148585133775516,train
5,100,"(6,)",c,0.026724902285251068,-0.15510590028162527,train
6,100,"(6, 6)",c,0.03001998264749482,-0.15579513035826614,train
7,100,"(8,)",c,0.028748781521262604,-0.15653528941941902,train
8,100,"(8, 8)",c,0.02970224336750371,-0.15762209632391305,train
9,100,"(10,)",c,0.02898041841504137,-0.15607814348599816,train
10,100,None,i,2.7247290284774732,-1.0622422924921358,train
11,100,"(2,)",i,2.413428182125736,-1.5179123574031248,train
12,100,"(2, 2)",i,2.3493167762664218,-1.6297329440961879,train
13,100,"(4,)",i,2.2665675969287085,-1.3974671437982542,train
14,100,"(4, 4)",i,2.6253540494447343,-1.3294376747254717,train
15,100,"(6,)",i,2.379534005957717,-1.6356866309281806,train
16,100,"(6, 6)",i,2.4015462358552373,-1.478735642061511,train
17,100,"(8,)",i,2.264600010606331,-1.7446044957967197,train
18,100,"(8, 8)",i,2.1776887916448597,-1.7463722631169387,train
19,100,"(10,)",i,2.2247881144690735,-1.5948788877612223,train
20,200,None,c,0.023875597998713263,0.04392411179570268,train
21,200,"(2,)",c,0.07419190558666848,0.012525176579027892,train
22,200,"(2, 2)",c,0.02719822000907263,0.04111159855481713,train
23,200,"(4,)",c,0.07469575219443776,0.023109032486060516,train
24,200,"(4, 4)",c,0.11705883898864211,-0.01769008477686323,train
25,200,"(6,)",c,0.04398777133731309,0.031850313926117944,train
26,200,"(6, 6)",c,0.09601335447383484,-0.0020259831965277275,train
27,200,"(8,)",c,0.08554663817109022,0.011604095913589596,train
28,200,"(8, 8)",c,0.11154600924986273,-0.019487624470729336,train
29,200,"(10,)",c,0.07668411054096282,0.0068249414478223705,train
30,200,None,i,2.9123771596151813,-1.146370806870631,train
