,experiment,use_location,use_scale,Z,NPMLE,thetaG,misspec,NPMLEinit,wellspec,truth
3440,e,True,True,0.16235474415761164,818.1463654455306,1705.3912099129604,3356.6402264279354,3350.7368093922937,1256.1391314600696,1289.6367534469694
3441,e,True,True,0.16354250194174824,816.1278878560972,1706.5246844474157,3358.2468418241824,3352.284090380842,1255.843356248722,1289.3938864978188
3442,e,True,True,0.16473025972588573,814.118263875333,1707.6572291761042,3359.8263850425365,3353.80423637814,1255.5463103959687,1289.149317993004
3443,e,True,True,0.16591801751002322,812.1174952048667,1708.7888412496834,3361.378756960222,3355.2971501200127,1255.247995300013,1288.9030496370713
3444,e,True,True,0.16710577529415982,810.1255832559676,1709.9195178175278,3362.903859607234,3356.7627355122986,1254.9484123596928,1288.6550831472862
3445,e,True,True,0.1682935330782973,808.1425291520778,1711.0492560313135,3364.4015961728064,3358.2008976334396,1254.6475629759811,1288.4054202547054
3446,e,True,True,0.1694812908624339,806.1683337306462,1712.1780530432354,3365.8718710099874,3359.611542744043,1254.345448550714,1288.1540627025981
3447,e,True,True,0.1706690486465714,804.2029975466286,1713.3059060065991,3367.3145896447413,3360.9945782869386,1254.0420704871512,1287.9010122476786
3448,e,True,True,0.171856806430708,802.2465208734232,1714.4328120750115,3368.7296587773517,3362.349912897452,1253.73743019055,1287.646270659626
3449,e,True,True,0.1730445642148455,800.2989037067784,1715.558768404278,3370.116986287786,3363.6774564053294,1253.4315290671025,1287.3898397211929
3450,e,True,True,0.1742323219989821,798.3601457658757,1716.6837721495542,3371.476481246557,3364.9771198414855,1253.1243685240418,1287.1317212286212
3451,e,True,True,0.17542007978311958,796.4302464964936,1717.807820468334,3372.808053911677,3366.2488154433418,1252.8159499712951,1286.8719169912813
3452,e,True,True,0.17660783756725706,794.5092050730411,1718.9309105175403,3374.1116157419747,3367.49245665822,1252.506274819319,1286.6104288312918
3453,e,True,True,0.17779559535139366,792.5970204012094,1720.0530394566847,3375.387079394589,3368.707958148831,1252.195344480353,1286.3472585846898
3454,e,True,True,0.17898335313553115,790.6936911201589,1721.1742044456685,3376.634358738258,3369.895235799621,1251.8831603684496,1286.0824081003427
3455,e,True,True,0.18017111091966775,788.7992156048383,1722.2944026450195,3377.8533688502416,3371.0542067197675,1251.5697238988512,1285.815879240865
3456,e,True,True,0.18135886870380524,786.9135919687237,1723.4136312167082,3379.0440260263213,3372.184789248083,1251.2550364888525,1285.547673882324
3457,e,True,True,0.18254662648794184,785.0368180659618,1724.5318873233325,3380.206247784553,3373.2869029592816,1250.9390995566769,1285.277793913468
3458,e,True,True,0.18373438427207933,783.1688914940048,1725.649168128845,3381.339952867827,3374.3604686656076,1250.6219145227606,1285.006241237546
3459,e,True,True,0.18492214205621593,781.309809595359,1726.7654707985894,3382.4450612511673,3375.40540842449,1250.3034828091666,1284.7330177704514
3460,e,True,True,0.18610989984035342,779.4595694611044,1727.8807924973903,3383.521494145198,3376.421645540268,1249.9838058394093,1284.4581254424065
3461,e,True,True,0.1872976576244909,777.6181679322108,1728.9951303933576,3384.569174001786,3377.409104569308,1249.6628850385955,1284.1815661965466
3462,e,True,True,0.1884854154086275,775.7856016027077,1730.108481654322,3385.5880245154785,3378.3677113249078,1249.3407218338389,1283.9033419901375
3463,e,True,True,0.189673173192765,773.9618668217182,1731.220843449415,3386.5779706305,3379.2973928808615,1249.0173176540789,1283.6234547939223
3464,e,True,True,0.1908609309769016,772.1469596958221,1732.3322129490805,3387.5389385445383,3380.198077575909,1248.6926739298535,1283.3419065919618
3465,e,True,True,0.1920486887610391,770.3408760917534,1733.4425873243001,3388.4708557122403,3381.0696950168244,1248.3667920932076,1283.0586993830218
3466,e,True,True,0.1932364465451757,768.543611638711,1734.5519637485015,3389.373650849728,3381.912176082532,1248.03967357848,1282.7738351786625
3467,e,True,True,0.19442420432931318,766.7551617304329,1735.660339394322,3390.2472539390856,3382.725452928329,1247.7113198216582,1282.487316005065
3468,e,True,True,0.19561196211345067,764.9755215281393,1736.7677114376836,3391.0915962292947,3383.5094589908144,1247.3817322602163,1282.1991439020467
3469,e,True,True,0.19679971989758727,763.2046859625002,1737.8740770538554,3391.9066102446695,3384.26412898746,1247.05091233448,1281.9093209228572
3470,e,True,True,0.19798747768172476,761.4426497365246,1738.9794334201927,3392.6922297863002,3384.9893989249144,1246.7188614857714,1281.617849135383
3471,e,True,True,0.19917523546586136,759.6894073273123,1740.0837777153372,3393.44838993452,3385.685206098715,1246.3855811573367,1281.3247306211374
3472,e,True,True,0.20036299324999884,757.9449529890762,1741.1871071188432,3394.175027054843,3386.3514891001123,1246.0510727952008,1281.029967476011
3473,e,True,True,0.20155075103413544,756.2092807549878,1742.2894188112182,3394.872078799339,3386.988187815856,1245.7153378465468,1280.7335618094826
3474,e,True,True,0.20273850881827293,754.4823844402335,1743.3907099741825,3395.539484111012,3387.5952434332344,1245.3783777610288,1280.435515745633
3475,e,True,True,0.20392626660240953,752.7642576439044,1744.4909777924622,3396.1771832276604,3388.172598443607,1245.0401939901556,1280.13583142246
3476,e,True,True,0.20511402438654702,751.0548937513967,1745.5902194487858,3396.7851176844974,3388.720196645011,1244.7007879874418,1279.834510992479
3477,e,True,True,0.2063017821706845,749.3542859372072,1746.6884321300108,3397.3632303173436,3389.2379831439134,1244.3601612084403,1279.5315566220402
3478,e,True,True,0.2074895399548211,747.66242716685,1747.7856130226041,3397.9114652659764,3389.7259043594786,1244.0183151111012,1279.2269704922412
3479,e,True,True,0.2086772977389586,745.9793101996693,1748.881759315534,3398.429767975802,3390.1839080253694,1243.6752511554891,1278.9207547980468
3480,e,True,True,0.2098650555230952,744.3049275909253,1749.9768681980072,3398.9180852022223,3390.611943194152,1243.3309708031825,1278.612911749219
3481,e,True,True,0.2110528133072327,742.6392716941904,1751.0709368608177,3399.3763650141095,3391.009960237854,1242.9854755189508,1278.3034435699506
3482,e,True,True,0.2122405710913693,740.9823346641301,1752.163962496004,3399.804556794257,3391.3779108514173,1242.6387667690828,1277.9923524987655
