,theta_grid_EB_misspec_e_location_scale,theta_grid_EB_NPMLEinit_e_location_scale,theta_grid_NPMLE_e_location_scale,pi_hat_EB_misspec_e_location_scale,pi_hat_EB_NPMLEinit_e_location_scale,pi_hat_NPMLE_e_location_scale,theta_grid_EB_misspec_e_median_scale,theta_grid_EB_NPMLEinit_e_median_scale,theta_grid_NPMLE_e_median_scale,pi_hat_EB_misspec_e_median_scale,pi_hat_EB_NPMLEinit_e_median_scale,pi_hat_NPMLE_e_median_scale,theta_grid_EB_misspec_e_location_IQR,theta_grid_EB_NPMLEinit_e_location_IQR,theta_grid_NPMLE_e_location_IQR,pi_hat_EB_misspec_e_location_IQR,pi_hat_EB_NPMLEinit_e_location_IQR,pi_hat_NPMLE_e_location_IQR,theta_grid_EB_misspec_e_median_IQR,theta_grid_EB_NPMLEinit_e_median_IQR,theta_grid_NPMLE_e_median_IQR,pi_hat_EB_misspec_e_median_IQR,pi_hat_EB_NPMLEinit_e_median_IQR,pi_hat_NPMLE_e_median_IQR
29,-0.74242103,-1.8936332,-1.6971340558991996,0.0023978131,5.5537934e-09,2.2662948503598617e-08,-0.77422595,-1.8944068,-1.6971340558991996,0.0037939886,1.2422127e-08,2.2662948503598617e-08,-0.7038492,-1.7609655,-1.6971340558991996,0.0012586446,6.8293486e-09,2.2662948503598617e-08,-0.7546634,-2.0721085,-1.6971340558991996,0.0010393154,5.5366547e-09,2.2662948503598617e-08
30,-0.7334318,-1.8242278,-1.6203617118517926,0.0020360923,6.775287e-10,3.3162538955381625e-09,-0.7681047,-1.8250818,-1.6203617118517926,0.0031855807,1.4071355e-09,3.3162538955381625e-09,-0.6949583,-1.6963073,-1.6203617118517926,0.0010796016,8.193198e-10,3.3162538955381625e-09,-0.74606526,-1.9918859,-1.6203617118517926,0.0008822889,7.2914774e-10,3.3162538955381625e-09
31,-0.72303045,-1.7548223,-1.543589367804386,0.0017585028,1.6461561e-10,8.294364611749749e-10,-0.76091266,-1.7557565,-1.543589367804386,0.0027574492,3.3501923e-10,8.294364611749749e-10,-0.6845441,-1.6316502,-1.543589367804386,0.00093989266,1.9942079e-10,8.294364611749749e-10,-0.73593044,-1.911663,-1.543589367804386,0.00076957105,1.798695e-10,8.294364611749749e-10
32,-0.711004,-1.6854168,-1.4668170237569789,0.0015343867,1.7402515e-12,8.755021658584811e-12,-0.75256795,-1.6864313,-1.4668170237569789,0.002426791,3.482994e-12,8.755021658584811e-12,-0.6723653,-1.5669932,-1.4668170237569789,0.00082581176,2.1124207e-12,8.755021658584811e-12,-0.72412646,-1.8314404,-1.4668170237569789,0.00068166794,1.9127861e-12,8.755021658584811e-12
33,-0.6970751,-1.6160117,-1.3900446797095718,0.0013466646,0.0,0.0,-0.7429536,-1.6171061,-1.3900446797095718,0.0021548858,0.0,0.0,-0.6581031,-1.5023363,-1.3900446797095718,0.0007296797,0.0,0.0,-0.71046597,-1.7512176,-1.3900446797095718,0.00060926663,0.0,0.0
34,-0.6808752,-1.5466063,-1.3132723356621647,0.0011852724,0.0,0.0,-0.7319077,-1.5477808,-1.3132723356621647,0.0019218005,0.0,0.0,-0.6413318,-1.4376792,-1.3132723356621647,0.00064694055,0.0,0.0,-0.6946951,-1.6709949,-1.3132723356621647,0.00054746814,0.0,0.0
35,-0.6619077,-1.477201,-1.236499991614758,0.0010440159,0.0,0.0,-0.719211,-1.4784555,-1.236499991614758,0.0017165402,0.0,0.0,-0.6214789,-1.3730222,-1.236499991614758,0.00057476625,0.0,0.0,-0.67647684,-1.5907723,-1.236499991614758,0.00049349846,0.0,0.0
36,-0.6394931,-1.4077955,-1.159727647567351,0.00091899827,0.0,0.0,-0.70456636,-1.4091303,-1.159727647567351,0.0015327015,0.0,0.0,-0.59776926,-1.3083652,-1.159727647567351,0.00051136105,0.0,0.0,-0.6553688,-1.5105495,-1.159727647567351,0.00044571093,0.0,0.0
37,-0.612689,-1.3383901,-1.082955303519944,0.00080777035,0.0,0.0,-0.6875693,-1.3398051,-1.082955303519944,0.001366426,0.0,0.0,-0.5691514,-1.2437084,-1.082955303519944,0.00045560228,0.0,0.0,-0.6307943,-1.4303268,-1.082955303519944,0.00040310065,0.0,0.0
38,-0.5801754,-1.2689848,-1.0061829594725373,0.00070890813,0.0,0.0,-0.6676634,-1.2704798,-1.0061829594725373,0.001215332,0.0,0.0,-0.53421307,-1.1790513,-1.0061829594725373,0.00040687324,0.0,0.0,-0.6020102,-1.350104,-1.0061829594725373,0.00036506334,0.0,0.0
