,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
10,200,False,True,g,0.12300125585243503,0.17966647401352426,0.2715380357558714,0.17976943613358842,0.19159324795050292,0.2762240488505213,0.057963531602843295,0.08644681859779528,0.26919238189433203,0.08641835063762582,3.376130459558082,0.27307201761652516,train
11,200,False,True,h,0.5698453925759205,0.5429407803010255,0.5047905843501663,0.5513908350885423,0.4630466633175911,0.49555855120539394,0.18688348547384676,0.31378505032703596,0.3877959649876975,0.31476692125369177,1.147089773173594,0.4299385722734736,train
12,400,False,True,c,0.009462448677729794,0.05991803770153232,0.0016888031333319909,0.05995636771237046,0.07394919212516504,0.0580512258875694,-0.06286820515332295,0.006480242617647818,-0.05207280212719055,0.0064562747879200804,0.538782961280458,0.01186355301587344,train
13,400,False,True,d,0.015083421043289231,0.005578094516856921,0.0007204331289354124,0.009935004028836127,0.00689332962731744,0.005578149853419642,-0.020011872260808913,-0.008500782828285907,-0.011085739839794629,-0.010592425709983502,0.04465116989987262,-0.007861086745216295,train
14,400,False,True,e,0.15584764697042644,0.18010512034572962,0.14301850833113133,0.18009684265950543,0.3070492269276993,0.24163687994656907,0.1386164611897788,0.15402100012250494,0.15959044561602442,0.1540211404489056,0.3720648126974113,0.23525642506468686,train
15,400,False,True,f,0.04354539073361331,0.0655734156891112,0.010156943063196106,0.0655685350137281,0.07775241196514694,0.06007279644195346,-0.0057580914314752365,0.03980228074049784,0.013726286546118321,0.039789283103697955,0.8098940122429547,0.05036426774212066,train
16,400,False,True,g,0.026503006464451705,0.13434180228947562,0.2825049522306264,0.13594501930821537,0.14705589020140308,0.2813693468260108,-0.00857375814558814,0.12552453268987318,0.2943179253616035,0.12575434657167645,5.046505223436211,0.2985995523340739,train
17,400,False,True,h,0.46842615298242385,0.39479951558944243,0.35822715357215934,0.39072757573456457,0.4125609605282852,0.38682014226519656,0.1983524392992184,0.30356633052710036,0.35395975791528733,0.31546111425940837,1.4291895566673616,0.4015242960300328,train
18,800,False,True,c,0.0168835925439239,0.05603856611597144,0.0031085993396483018,0.057073050890486005,0.07686828004020117,0.05559372449530404,0.0190934236052429,0.07789385669711778,0.030294368400315914,0.07743872788065445,0.5352076710147575,0.08308560609673682,train
19,800,False,True,d,0.0044480044895462405,0.004827964279520206,0.00034430062203290367,0.0048268687944465994,0.005858830757831138,0.004632234489735298,-0.005567064359845293,0.005105629912254379,-0.002240666402105952,0.00510608513900408,0.17492674554381668,0.005595658288053876,train
20,800,False,True,e,0.14468287993805856,0.16773734045905125,0.13672364411373797,0.16773753041913747,0.2406607623406782,0.22233165491201481,0.13408366221342863,0.14899766132160683,0.14733842298287897,0.14899183823157974,0.3373213205112288,0.22909226636290375,train
21,800,False,True,f,0.012701742432484646,0.058398696482905486,0.0007012475495029828,0.058399864016007046,0.07946528329403496,0.053507208987243725,0.01817804882192187,0.05499150698488677,0.003129564630299102,0.05497823378646295,0.9170033161725917,0.06817599607910935,train
22,800,False,True,g,0.009197978876307017,0.12609302893253005,0.26292901662969187,0.12639601305814147,0.13709283850018364,0.2665375465476664,-0.03757674234423438,0.11975565923329114,0.29543945953986855,0.11977078528666767,4.87732367982515,0.29861178028966845,train
23,800,False,True,h,0.3733365264792032,0.3805161120371686,0.3766595847650681,0.3805138440593208,0.39019453657889275,0.39380433994063885,0.3072362190632901,0.3323745439378332,0.3663235943681506,0.3323416464076722,1.35378881601355,0.4024983999726319,train
24,1600,False,True,c,0.00588212912761955,0.05243883255212417,0.0018872242897532282,0.05243912354502263,0.0747625490901627,0.053290115623501985,-0.03290682217299373,0.043998237593112326,-0.02844495007897847,0.043999092359413725,0.6743332421139613,0.04753449030718421,train
25,1600,False,True,d,0.00926401166148473,0.00818481257368041,0.007212497011921211,0.008184946647203711,0.009041112127607153,0.008184836989331793,-0.014388417232919313,-0.005889220098888917,-0.011704153527003075,-0.005889518379157792,0.0931522548329041,-0.005734207910158953,train
