,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
20,3200,False,True,c,0.002240920057147732,0.055652630371266304,0.0016790425531934409,0.055657207268376495,0.06995600980531552,0.0548765073765053,-0.01794487202530784,0.0391280262295566,-0.01771162013378399,0.03913383878741087,0.6397454874696393,0.041175662489236986,train
21,3200,False,True,d,0.00022208069322235708,0.0056833848239029525,0.0004279841292718826,0.00568439081898908,0.006454883107238087,0.005689371242107688,-0.007940223651712316,-0.0002035349926486063,-0.007260569385472195,-0.0002041090195002404,0.08295678648423152,-0.00012501142901689966,train
22,3200,False,True,e,0.15780175526017667,0.1791488651933453,0.15651452461260817,0.17938552293303908,0.27267544691568046,0.23961769471944147,0.14577123449089804,0.1655586157586084,0.14727034137078499,0.16553133660191655,0.3450212058893621,0.23364251664333152,train
23,3200,False,True,f,0.0012365881413045573,0.05730871756612973,0.06207017117387103,0.05730994728372701,0.07636667119118547,0.05698917502480228,-0.02460745258857882,0.02917905313803999,0.03947041278503198,0.029172853045151256,0.9411646312330972,0.03525570565189229,train
24,6400,False,True,c,0.0005531170998127756,0.05315730117075947,0.00045945219878327603,0.053157034764920334,0.07634340234092965,0.0548679027844476,-0.01300457496119586,0.0473102600227832,-0.012538362331308296,0.04730879909907365,0.5900687957217374,0.049894147424521806,train
25,6400,False,True,d,0.0016303148166356446,0.004793060160433667,6.196053025803065e-05,0.004800046539321918,0.0054926990409640995,0.004782643203485468,-0.0003442374496483361,0.004803041602858684,0.0006665209173756544,0.004802124712598364,0.06519074114408731,0.004892495775042069,train
26,6400,False,True,e,0.1553423041611566,0.17451998128885068,0.24426330725842152,0.1745150040881554,0.2635989428450879,0.23322093288129733,0.1526252486967832,0.1755513500980316,0.24476999543953212,0.17542500033750877,0.4139844631595423,0.23535387786085962,train
27,6400,False,True,f,0.00023548116584054069,0.055597874499622,0.0011501969185258882,0.05560015930724659,0.07575792291837596,0.05472438011100003,-0.01951710105262558,0.03394982253734128,-0.018218035554384893,0.033936694190690134,0.9163872214463175,0.041059373560619394,train
28,100,False,True,c,0.14873470674888245,0.09738951428388648,0.03835571040225349,0.09603275801365431,0.687578525846579,0.07134810863315989,0.20692400293870317,0.09990859691471186,0.1090569324309359,0.10082585528551491,0.8878464495368945,0.10583990596160403,test
29,100,False,True,d,0.020601373386218893,0.007102194533582137,0.002575305194961906,0.007102413702766161,0.04270313766662077,0.005149731789482822,0.007218140800771618,-0.005454556685439425,-0.008805704417282557,-0.005453142987269235,0.02105542537241913,-0.005555411482953659,test
