,n,hidden_sizes,experiment,MSE_wellspec,SURE_wellspec,data
59,10000,"(32,)",f,0.001280793540650128,-0.0011327908579607368,test
0,1000,"(8,)",c,0.011345549638043071,-0.007773592468024607,train
1,1000,"(32,)",c,0.011806555300890495,-0.008534077476496314,train
2,1000,"(8,)",d,0.000855645728757902,0.00596714273789014,train
3,1000,"(32,)",d,0.0026638135412093604,0.004372129583907457,train
4,1000,"(8,)",d5,0.03442755356119064,-0.0023118378087513074,train
5,1000,"(32,)",d5,0.03980478896062275,-0.00979831527295034,train
6,1000,"(8,)",e,0.13316404316429503,0.14835336655773548,train
7,1000,"(32,)",e,0.13318284311579165,0.14834650085806853,train
8,1000,"(8,)",f,0.023062392880391816,0.022310288728968664,train
9,1000,"(32,)",f,0.02229871366254045,0.021728057819148973,train
10,5000,"(8,)",c,0.0005116394896417667,-0.011286860556984118,train
11,5000,"(32,)",c,0.0006604162843503493,-0.011438724518056154,train
12,5000,"(8,)",d,0.00031516578877689234,0.0020113735301958697,train
13,5000,"(32,)",d,0.0013325343186857627,0.001341026550655446,train
14,5000,"(8,)",d5,0.011849289503351911,-0.011243958922659688,train
15,5000,"(32,)",d5,0.013617687479172483,-0.012864010741988875,train
16,5000,"(8,)",e,0.1552171798955811,0.14298051155276645,train
17,5000,"(32,)",e,0.15465148282557883,0.14279149203211247,train
18,5000,"(8,)",f,0.0028316206311123173,0.007814497661089997,train
19,5000,"(32,)",f,0.006727690189959776,0.0060846798531740765,train
20,10000,"(8,)",c,0.002013939908774077,0.00998801889974328,train
21,10000,"(32,)",c,0.0024719029957788676,0.009289421776783277,train
22,10000,"(8,)",d,0.0011589480238861601,-0.0004992226303646043,train
23,10000,"(32,)",d,0.001276452058878311,-0.0005910009797294687,train
24,10000,"(8,)",d5,0.004754791911846877,0.0004840322087986671,train
25,10000,"(32,)",d5,0.004675019082395867,0.00024944907570479205,train
26,10000,"(8,)",e,0.15097349623699838,0.1444845603570634,train
27,10000,"(32,)",e,0.15097581710744593,0.14448308293800682,train
28,10000,"(8,)",f,0.00014666826489511626,0.0014605001249090891,train
29,10000,"(32,)",f,0.0001669871543898927,0.0014564273845297444,train
30,1000,"(8,)",c,0.010992078419223878,0.021111722733839555,test
31,1000,"(32,)",c,0.011487569741485683,0.02240506602345543,test
32,1000,"(8,)",d,0.0007090513430848843,-0.011164665361683923,test
33,1000,"(32,)",d,0.001786847713836538,-0.005491591423863579,test
34,1000,"(8,)",d5,0.02908550225885906,0.023527141928947993,test
35,1000,"(32,)",d5,0.044200084137851134,0.058371090094415205,test
36,1000,"(8,)",e,0.14132017353419254,0.14203600608592276,test
37,1000,"(32,)",e,0.14154656850963396,0.1416068959187318,test
38,1000,"(8,)",f,0.020963564875531658,0.005334329142248285,test
39,1000,"(32,)",f,0.02001448996643854,0.006254220776632777,test
40,5000,"(8,)",c,0.0005132312297896562,0.025217910554715284,test
41,5000,"(32,)",c,0.0007206876823594427,0.0251031780476677,test
42,5000,"(8,)",d,0.00018344942641491122,0.0033016913501477023,test
43,5000,"(32,)",d,0.0006323681696136657,0.00372989543176206,test
44,5000,"(8,)",d5,0.001913774025048557,-0.009569573218241888,test
45,5000,"(32,)",d5,0.002279436354144792,-0.009360387843535233,test
46,5000,"(8,)",e,0.15860517328147813,0.16492312937887993,test
47,5000,"(32,)",e,0.15794806786643487,0.1643918581842449,test
48,5000,"(8,)",f,0.0027553158394691916,-0.00030237138137501063,test
49,5000,"(32,)",f,0.006630446880498225,0.0005083808611673376,test
50,10000,"(8,)",c,0.0013589105392205504,-0.010391450058238081,test
51,10000,"(32,)",c,0.0015994057184816506,-0.010155454469964163,test
52,10000,"(8,)",d,0.0009262294537722653,0.003095829816070877,test
53,10000,"(32,)",d,0.0010222843375373295,0.0032297894494619683,test
