,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,SURE_wellspec,SURE_misspec,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
11,400,False,True,f,0.029550900998634,0.060921689557643245,0.06092633960883566,0.07902579564282823,0.05823454332267386,-0.04235804817028357,0.046988424954683194,0.04697555385149791,0.07281903478821043,0.05431837739238554,train
12,800,False,True,c,0.05987138314648045,0.08748716686572244,0.08749068047082954,0.10682800033179726,0.05809358369360495,-0.03665939737736628,0.03265551791825153,0.032659034028767804,0.06072742746160465,0.0611549721321728,train
13,800,False,True,d,0.0036900030718728786,0.0058665047354612395,0.005891936513522864,0.006262604663579029,0.005315278436970652,-0.012247210877326534,-0.000444062445030422,-0.0005631769518836549,0.0009346295723939236,0.00043757746645339823,train
14,800,False,True,e,0.12307076765133976,0.1388885391813838,0.13892275503527798,0.25355162959148325,0.21020049328877538,0.14221852675883503,0.16614968073530023,0.16614411774794696,0.26822329695043945,0.23448502040431835,train
15,800,False,True,f,0.002695333042028288,0.056239427735811455,0.056243333879979096,0.07511606324635461,0.053428392879139454,-0.02745279789873828,0.03636825459696759,0.03635528705324568,0.06499219455799533,0.04628658452643658,train
16,1600,False,True,c,0.03347794466507194,0.07434594820228416,0.07435818634779733,0.08680257010368489,0.055009276644669196,0.001819182011227678,0.05841146632812233,0.058404358936685837,0.08040955464905991,0.07584640235372414,train
17,1600,False,True,d,0.0077843211084010445,0.008674931357216357,0.008676358416269812,0.006107905324651457,0.005562115730368198,-0.0009922164465337466,0.01279477783631311,0.012794279251856437,0.015141718673521147,0.01440365548946182,train
18,1600,False,True,e,0.16528979864078855,0.18326582561091911,0.1832662481824409,0.2532653510110302,0.23055992471796455,0.1393481961223779,0.1642940607049176,0.1642874197590082,0.28249869346372697,0.23322644758480168,train
19,1600,False,True,f,0.02556661238388809,0.06050366775799353,0.06050258864461764,0.08230681803305691,0.05525820602640311,0.005896057643084036,0.05612155579518813,0.0561124826537796,0.0840266195296396,0.07025780451984931,train
20,3200,False,True,c,0.007593186995237606,0.05228178583350538,0.05731252824034598,0.07848430768818546,0.05395879096511701,-0.012103258572455838,0.051343165806881,0.047918449777420734,0.07090196482235314,0.05282603762318122,train
