,NPMLE,SURE-PM,SURE-THING,SURE-LS,Z (MLE),log-sigma
2709,0.02957412503889599,0.03302780267667495,0.024679992422147745,0.03016573881815137,0.031992283,-2.081056821489869
2710,0.02993815628225181,0.032767272714172575,0.023523171777257358,0.030429380901819236,0.031718157,-2.1649983662869587
2711,0.059596357351887064,0.0685124939074257,0.051498697418044026,0.058062380109057184,0.072680183,-1.7685739176570758
2712,0.02278205813843792,0.024867036551824092,0.02061180215479459,0.02141376024055901,0.022040095,-2.259977788675989
2713,0.029813586861594875,0.03340813387834344,0.02538575547176182,0.030507753041059037,0.032584939,-2.0529665280998564
2714,0.016532668827767143,0.016744113714914327,0.02024859088029632,0.014717019271451253,0.015219408,-2.2369491302516904
2715,0.03535285157946799,0.08645537371912387,0.0753829340627517,0.0745935662880131,0.048222993,-1.2040099290078405
2716,0.02940763242014031,0.03784697240755412,0.030115834084331182,0.027603012732451485,0.031958871,-1.8132332085091731
2717,0.010160635570344592,0.004613127105581265,-0.00026064309108393767,-0.0010604895272923022,-0.0012037888,-2.0556074236885338
2718,0.03664686136565647,0.09115154994748273,0.08078490498678764,0.0807329792796582,0.061225854,-1.1783071181568587
2719,0.0245368155719567,0.03277689896903986,0.027766350616305172,0.018048955659351287,0.018677842,-1.6992709226364744
2720,0.012974971092627607,0.012997990002481263,0.018046108926134757,0.011521347115303114,0.011829524,-2.313994836486224
2721,0.052264305320494614,0.1105316212082836,0.0841052324105383,0.08541657282961429,0.16774617,-1.1862172614678754
2722,0.041211250237855344,0.05907721423213775,0.04064862286014992,0.04038240207924122,0.054010462,-1.6224442106110075
2723,0.034359341952780204,0.04169595976860118,0.03080264719831586,0.03432425728242419,0.038826305,-1.893557441307763
2724,0.027326506497225327,0.03157888882773864,0.024953065596255018,0.02667035883424831,0.028796243,-2.011636483936691
2725,0.008651872837202663,0.006750300336866254,0.004827061083224384,0.004327712452813702,0.0045123533,-2.2871220844115543
2726,0.017552899460773583,0.01926548764411732,0.021070628929934228,0.012881280126930903,0.01375061,-2.0367145216591944
2727,0.023335033444569567,0.028827728524210755,0.026266681438844152,0.01836533100527078,0.020408895,-1.8362543016186414
2728,0.03491894478524554,0.04684437368618002,0.033737020136913945,0.03352249335208693,0.040418729,-1.7602067822791259
2729,0.050732029582312446,0.07211302732057273,0.04431196122832922,0.04926315589035458,0.068145409,-1.64424817914414
2730,0.01190167487813203,0.012128909089718996,0.016973114055515298,0.01087245939092103,0.011107801,-2.371960270659809
2731,0.021864078865378816,0.026447494804696707,0.024773163694772032,0.016390799277982593,0.018008739,-1.8733752001459758
2732,0.019327552603141132,0.017299880382860955,-0.04919813962727976,0.048236276850465554,-0.10463907,-1.2602845043576965
2733,0.03114251859957311,0.05106315607324539,0.040439542328641644,0.032692766909667964,0.030252688,-1.4900319524140733
2734,0.04952111482058119,0.10706708948838532,0.06730629553074498,0.0674790545085907,0.11713384,-1.2940692593646101
2735,0.03521160561044578,0.06002968225228482,0.043185443555716234,0.037302034191571236,0.044035744,-1.4999827866732987
2736,0.058663238136051885,0.10935583862219314,0.056405837659147195,0.05987023502248764,0.10773756,-1.4411025764287189
2737,0.023684106504843774,0.03215480876354262,0.025411077550718114,0.015989673833829994,0.0083397953,-1.5927814877066722
2738,0.02091763783742725,0.02517549588450555,0.023125163844669526,0.013142067399140641,0.013879063,-1.814366349815111
2739,0.02184199905669729,0.023567461348700514,0.020612975443152774,0.020404943845458955,0.021011094,-2.2579865478419237
2740,0.02977149178821,0.053889004723592863,0.04588848081461039,0.03940910113872707,0.01784613,-1.3902471288781215
2741,0.02107230896133395,0.025097195397586626,0.02390609830147209,0.01597875981447339,0.01744312,-1.9237553341100466
2742,0.02085272671465088,0.024498142309214398,0.023348273746571797,0.01670718362924774,0.018059667,-1.9858420846769598
2743,0.026212817869723782,0.030682331967078702,0.025003782696950118,0.024899118603407218,0.027018497,-1.9922454815281752
