mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
5,50,0.064348536,0.160437491,0.064331189,0.160439615,0.136956314,0.226881976,0.063696473,0.161170178,0.862903526,0.95874079,0.058934929,-1636.448125,0.163724396,1.015218555,0.064317609,0.160350654,0.057592526
7,50,0.062039348,-0.003480302,0.068374848,-0.002297244,0.068419753,-0.000468935,0.06341942,-0.001354768,0.049895259,-0.013206666,0.005174421,-1562.972269,-0.082597992,0.953107313,0.01342172,-0.079715692,0.001103902
3,50,0.196345644,0.073022849,0.196199285,0.073158877,0.273516874,0.134787989,0.195544774,0.074370941,0.242375597,0.174106426,0.180759674,-1512.984927,0.078595786,1.035025171,0.194574577,0.073024759,0.174858481
5,50,0.090220579,0.124385383,0.090072957,0.124550872,0.186256492,0.187228399,0.089610098,0.125405061,0.596221408,0.634786121,0.084463992,-1556.14169,0.126603004,1.021395833,0.085180487,0.126224748,0.084069708
7,50,0.004592907,0.009928029,0.004497011,0.009962281,0.055265163,0.084910292,0.002546752,0.010771328,0.002699287,0.01033541,0.00113081,-1585.875365,0.017881563,0.944308405,0.001999362,0.009892454,0.00074179
3,50,0.158185403,0.1235735,0.15772077,0.123538932,0.18180668,0.165751528,0.156062397,0.124348706,0.264755641,0.222577061,0.159401078,-1549.446127,0.128609042,1.035284367,0.157425973,0.123459535,0.151892983
5,50,0.133048163,-0.001130499,0.120840968,-0.000324738,0.170659045,0.060207477,0.114510496,-0.000203901,0.097859496,-0.000449212,0.092452392,-1554.680218,-0.01189443,1.017052982,0.11206789,-0.014019135,0.08291427
7,50,0.001395408,0.008814327,0.001180058,0.008821984,0.039762173,0.08404017,0.001092295,0.009108868,0.001532146,0.008968081,0.002406449,-1595.590527,0.011031454,1.020951062,0.001391721,0.008760953,0.000684525
3,50,0.178085911,0.110210609,0.177725195,0.110316605,0.226133387,0.148533336,0.176058082,0.111242368,0.198031991,0.23252073,0.138639355,-1494.676963,0.130560618,1.052603875,0.177085559,0.110206799,0.133389498
5,50,0.190926648,0.119272888,0.190207837,0.119290722,0.255781611,0.212318326,0.189728922,0.119923799,0.82709511,0.774967942,0.16220357,-1596.971779,0.14042116,1.069827336,0.169820657,0.127225684,0.164172672
7,50,0.059090629,0.173777414,0.057862549,0.173565916,0.156005763,0.216741646,0.056637772,0.174537489,0.078093902,0.179626552,0.034746497,-1612.812345,0.186157331,1.042184722,0.058256537,0.173503177,0.030106694
3,50,0.214514944,0.106669061,0.214193267,0.106815096,0.298334682,0.170883984,0.214804101,0.107971356,0.226831363,0.228706551,0.205792542,-1507.272619,0.112472114,1.084341424,0.21427927,0.106634428,0.165214521
5,50,0.093177081,0.133582112,0.09250981,0.134116949,0.255076921,0.215840987,0.090713019,0.135121224,0.061956588,0.1548148,0.066982915,-1588.209335,0.153336097,1.094913814,0.093075147,0.133459931,0.054286781
7,50,0.058600746,0.078940707,0.057697598,0.079111754,0.097858291,0.146164896,0.056738689,0.080452808,0.052346835,0.082079882,0.04731572,-1581.738681,0.084921321,1.012258516,0.051996012,0.082523466,0.044508631
3,50,0.209446667,0.146534808,0.208797118,0.147116647,0.269846071,0.194975044,0.206765568,0.14734342,0.224041151,0.272569278,0.162317196,-1522.657325,0.167783444,1.058884223,0.209074221,0.146386676,0.129375381
