mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
3,5,0.047811693,-0.000217186,0.045010923,-9.44E-05,0.074533284,0.027892542,0.044964436,-6.29E-05,0.057007725,0.011965259,0.039745405,-1399.610919,-0.012525458,0.972206605,0.039537547,-0.011952588,0.036627449
5,5,0.051318852,-0.000583241,0.045039392,-0.0004138,0.09037302,0.025415442,0.040776573,-0.000156295,0.033679915,-0.003503861,0.00272553,-1405.419752,-0.036892685,0.958821992,0.004049377,-0.03592494,0.002568621
7,5,0.043850053,0.002533613,0.033650878,0.004601879,0.071058399,0.054475925,0.039166899,0.012232071,0.01745811,0.006523042,0.017929942,-1428.746743,0.010727256,1.015671655,0.036378452,0.003767443,0.003912206
3,5,0.045175372,0.094117016,0.039951363,0.096094444,0.112373679,0.134203743,0.045196326,0.101964035,0.05469585,0.116746754,0.035990978,-1450.156044,0.094271158,1.011279751,0.041521022,0.093068649,0.022024009
5,5,0.031407107,0.046919282,0.035056171,0.048159584,0.047307839,0.090034447,0.031818713,0.057124922,0.06784468,0.074103908,0.031927201,-1401.248021,0.055120005,1.054188648,0.049086917,0.050526493,0.016095637
7,5,0.13766975,-0.001643545,0.093092946,-0.000936953,0.140327155,-0.000311427,0.078335207,-0.000265364,0.138336217,-0.003522277,0.007106264,-1404.798195,-0.044341945,1.012525897,0.008575676,-0.043024686,0.003445588
3,5,0.049334933,0.123006791,0.048712264,0.124317793,0.101632246,0.183875351,0.041246874,0.12873266,0.044117265,0.190996879,0.01419892,-1455.571998,0.144577823,1.04077788,0.03610517,0.12545901,0.005016444
5,5,0.040453397,0.065265673,0.037393045,0.067482701,0.104108042,0.120690334,0.04082727,0.074110723,0.103181917,0.136412145,0.030641755,-1423.133418,0.072320595,1.048398484,0.040230571,0.064843234,0.032296206
7,5,0.002172337,0.007134056,0.001127927,0.008621251,0.028166192,0.049053145,0.004642148,0.017427051,0.001343216,0.011419393,0.005509059,-1408.23145,0.008778426,1.032513981,0.00212736,0.006694075,0.00169134
3,5,0.061468399,-0.000826316,0.047575934,-0.000618404,0.063110664,-3.88E-05,0.045773819,-0.000144494,0.034330687,-0.000904187,0.017174572,-1394.57181,-0.030870466,1.004134068,0.015617933,-0.030423719,0.014085234
5,5,0.042752537,0.085234282,0.043029364,0.083853674,0.128391149,0.137379054,0.041891344,0.090261924,0.064508184,0.134875304,0.035449882,-1427.645982,0.089556146,1.058240351,0.043138725,0.082311736,0.011318798
7,5,0.036830045,-0.002550832,0.042069839,-0.001161784,0.038987445,-0.000627344,0.046108216,-0.000426986,0.047830809,-0.008193688,0.00478771,-1387.927952,-0.069749767,0.956967312,0.010568477,-0.069356214,7.23E-05
