sigma_theta,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
0.1,0.009831318,0.042196216,0.009757208,0.042150149,0.020902261,0.079726827,0.009591423,0.042736283,0.009796997,0.042152913,0.009681564,-1391.221214,0.042561884,0.879098204,0.009806842,0.042114731,0.009338377
1,0.498617365,0.420657365,0.498476473,0.42082475,0.506704725,0.438196662,0.498768935,0.421053689,0.502131874,0.424866783,0.499861552,-1751.019454,0.426688499,1.020199383,0.498643881,0.420618082,0.498346125
5,1.116959079,0.952755841,1.116703801,0.952832657,1.140861182,0.994665988,1.113342756,0.954475518,1.468743476,1.36401264,1.082228332,-3020.876508,0.99722831,1.091801853,1.116575734,0.952782763,1.054502143
0.1,0.041333756,-0.004770972,0.047611344,-0.001694369,0.045879933,-0.001172477,0.048025532,-0.000850807,0.035061917,-0.015963944,0.011620759,-1365.900671,-0.064986531,0.904391487,0.010460091,-0.062389284,0.010385575
1,0.507375718,0.484065605,0.507096808,0.484231807,0.535826022,0.504700833,0.508442021,0.485369227,0.502516758,0.508148332,0.513728994,-1766.04066,0.500997996,1.028909358,0.507023322,0.484027967,0.495234238
5,1.146436808,0.979316367,1.146313357,0.979465497,1.172275738,1.016469918,1.146643793,0.980901529,2.602462209,2.36527477,1.147091476,-3012.017006,0.999453824,1.092760566,1.146401384,0.979319964,1.113138398
0.1,0.040735624,-0.00502452,0.044104746,-0.002270194,0.045374452,-0.001022258,0.043657333,-0.000755947,0.032855065,-0.011669333,0.010561638,-1333.420292,-0.074976097,0.916007004,0.010849002,-0.073238465,0.009903099
1,0.512538588,0.494789069,0.512045678,0.495363634,0.532729648,0.525741397,0.512931968,0.495579342,0.493688406,0.51474916,0.490681264,-1781.986852,0.504887988,1.02850478,0.512225691,0.494789774,0.483488119
5,1.127401257,0.975693148,1.127364167,0.97574539,1.15396981,1.003323698,1.127537057,0.976941701,1.732885113,1.502943543,1.094360312,-3040.485831,1.003212152,1.085750523,1.127457879,0.975754335,1.058862863
0.1,0.015869672,0.020929363,0.016058023,0.020920812,0.030155671,0.049523662,0.016005698,0.021365827,0.016040822,0.020914792,0.013513703,-1389.983026,0.021417324,0.848196603,0.016072919,0.020898195,0.010667536
1,0.481113605,0.474152879,0.480962477,0.47424538,0.507048886,0.493694949,0.48288353,0.474947208,0.486375175,0.494910866,0.474237821,-1768.175851,0.484160145,1.015510094,0.481039538,0.474099615,0.463890509
5,1.121537927,0.959471215,1.121373238,0.959828631,1.157954468,0.999648504,1.122868621,0.961343357,2.02787054,1.956776939,1.085063081,-3056.458485,0.993837245,1.084967507,1.121224317,0.959501145,1.051620086
0.1,0.009213097,0.02722159,0.009207444,0.027248885,0.018652184,0.060830844,0.009281513,0.027546729,0.009208705,0.027212968,0.009293554,-1386.958622,0.027302246,0.886882168,0.009212387,0.027186661,0.009204409
1,0.474079153,0.477181365,0.474190187,0.477421601,0.484236431,0.503161366,0.474849705,0.477949889,0.481085681,0.487068189,0.474418961,-1773.596246,0.479521789,0.945109556,0.474055683,0.477147698,0.468315136
5,1.007584387,0.948612566,1.007731584,0.94883485,1.036051227,0.975423574,1.008401157,0.952002865,3.617475219,3.415102825,0.979933522,-3045.556567,0.979011777,1.094219506,1.007581183,0.948654094,0.948987356
0.1,0.029735212,-2.72E-05,0.021061438,-1.42E-05,0.138329861,0.049052483,0.02248916,-7.07E-06,0.009758815,0.00535205,0.014728283,-1374.769576,0.001112964,0.926407788,0.015434311,0.000335844,0.009590906
1,0.508403718,0.454131816,0.509231338,0.454314532,0.533805841,0.486259206,0.507128672,0.454961103,0.463661704,0.494158039,0.47905468,-1758.440519,0.464194038,1.050746337,0.508331428,0.454017576,0.450903107
5,1.078416395,0.98205352,1.078345077,0.982251833,1.115975426,1.012204472,1.077727065,0.98299839,1.976163648,1.917430457,1.052412419,-3045.51375,1.000203397,1.08209799,1.078340264,0.982031474,1.027195487
0.1,0.015192644,0.029201022,0.014919911,0.029458734,0.033707949,0.05480943,0.014721492,0.030234817,0.014302238,0.02999402,0.014473683,-1398.171245,0.029729205,0.942740075,0.015144511,0.029161073,0.010854996
1,0.526239835,0.470965589,0.526452918,0.47116348,0.574228946,0.49783896,0.527584909,0.471780982,0.528142592,0.48105567,0.532060005,-1778.140762,0.475276422,1.023224396,0.526328838,0.470908423,0.521083718
5,1.004719554,0.987055106,1.004650471,0.987242322,1.020586286,1.013530962,1.005814933,0.989104236,1.745132182,1.552542928,0.99528219,-3065.179271,1.015343788,1.090199305,1.004687606,0.987080019,0.992747044
0.1,0.027673103,0.108347386,0.027407386,0.108645749,0.052599376,0.136554166,0.028848659,0.109406111,0.016343105,0.112468459,0.012549662,-1414.403383,0.115517711,0.955999552,0.027677573,0.108317684,0.009808546
1,0.485904815,0.478581745,0.483880366,0.477869479,0.49780286,0.503675361,0.483714445,0.478348968,0.484347215,0.484355723,0.487564159,-1765.570279,0.48258242,0.909617081,0.483902958,0.477709602,0.478228866
5,0.987268258,0.98523906,0.987492122,0.985326975,1.017170803,1.013160658,0.98470245,0.986385812,1.46050391,1.486479822,0.982552673,-3038.907824,1.013507645,1.088773176,0.987776069,0.985273358,0.980715171
0.1,0.0162643,-3.45E-05,0.015545505,-2.11E-05,0.052586352,0.032947412,0.014968806,-3.62E-06,0.011749275,0.000646378,0.015253215,-1387.393478,-0.001578818,0.94548093,0.016942832,0.002704374,0.010259297
1,0.53104362,0.493036445,0.531206987,0.493182247,0.594602324,0.520511757,0.529852195,0.493781864,0.515396062,0.522183639,0.509439348,-1767.046243,0.505354582,1.020918328,0.531013403,0.492967696,0.498407331
5,1.072317828,0.964756187,1.072607961,0.96527179,1.118523817,0.997349706,1.072506107,0.965600924,1.734091462,1.726248386,1.046346955,-3027.004165,1.007557767,1.08758789,1.072462985,0.964799106,1.018449184
