sigma_theta,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
0.1,0.013777035,0.063997467,0.010552501,0.064993534,0.046344557,0.090563251,0.017267414,0.070945837,0.010167182,0.064744578,0.012097407,-1372.695075,0.065248505,0.934393454,0.010372376,0.064809167,0.009245577
1,0.49472693,0.416814111,0.495529212,0.418433221,0.524119011,0.456613685,0.492703223,0.42266947,0.492329803,0.430389587,0.490115315,-1749.712567,0.421523301,0.980479247,0.493966173,0.416255115,0.484256049
5,1.099714915,0.951628359,1.10032532,0.952521292,1.114527874,0.98697079,1.095532952,0.953832755,1.112921339,0.986554038,1.087009909,-3013.449628,0.977103393,1.049629902,1.100244874,0.951569526,1.060233444
0.1,0.076952553,-0.001365964,0.076589123,-0.000841486,0.07903082,0.002874421,0.073476718,-0.000473888,0.071525465,-0.008678432,0.012106621,-1361.207242,-0.043848234,0.990834852,0.016862302,-0.045222773,0.009591256
1,0.488816037,0.498214208,0.489133526,0.498623103,0.497414555,0.521055806,0.489365882,0.502068027,0.490502409,0.501811498,0.494740317,-1785.002769,0.499426349,0.959636914,0.48927819,0.497041164,0.485789646
5,1.095581832,0.93509914,1.095963695,0.938432745,1.115212414,0.967536605,1.093393853,0.938933736,1.181849171,1.149165817,1.067861838,-3019.731159,0.96252469,1.051224527,1.093176225,0.935043503,1.042938455
0.1,0.011400171,0.060485011,0.011021376,0.060820876,0.058365653,0.085039309,0.018205201,0.066883916,0.011257746,0.060119299,0.010700849,-1375.648338,0.060495356,0.952883742,0.011020919,0.060390283,0.010101707
1,0.534293939,0.442664843,0.53222156,0.444224449,0.544024989,0.470578744,0.533316995,0.447782145,0.530902708,0.456276229,0.530888476,-1745.623428,0.44780736,0.963350873,0.533263668,0.441965764,0.523301045
5,0.940558851,0.94211336,0.940734694,0.943108101,0.977410405,0.970249267,0.937325289,0.944965722,0.956373465,0.953400194,0.916851099,-3015.797486,0.972975274,1.049508446,0.940016985,0.942061032,0.899093591
0.1,0.037821771,0.020647435,0.0324895,0.022218327,0.137205908,0.084169885,0.032866321,0.028548266,0.010507911,0.035446356,0.017395471,-1365.129401,0.026136062,0.901787758,0.035423162,0.019741847,0.01010735
1,0.444677648,0.474402618,0.442556191,0.475660527,0.46116168,0.500124182,0.445397226,0.481557842,0.444757345,0.493526232,0.443159091,-1748.419218,0.479425727,0.968324752,0.44323346,0.473789334,0.438188677
5,0.979668289,0.959578184,0.979897066,0.960683511,1.020256615,0.993926836,0.980902345,0.961086751,1.002192705,0.978862307,0.986789912,-3033.738999,0.982805636,1.04927995,0.982439801,0.959233317,0.947845633
0.1,0.044229352,-0.002238434,0.046094377,-0.000752737,0.046262606,-0.00034585,0.045507505,-0.000318218,0.037832582,-0.006638245,0.010500551,-1331.791039,-0.062758812,0.831477323,0.012220861,-0.063042619,0.010308705
1,0.475453178,0.473373809,0.474153529,0.471445623,0.485898316,0.492773881,0.474910526,0.475954095,0.481934956,0.475834421,0.476861932,-1764.043555,0.470777743,0.981611137,0.47426818,0.469844889,0.472854976
5,1.043109822,0.922966215,1.039121358,0.9243789,1.068408774,0.962252258,1.038514655,0.925620543,1.058457851,0.952246254,1.000749002,-3034.28572,0.955121367,1.047646864,1.040759966,0.922764148,0.981158168
0.1,0.037314045,-0.001902116,0.040178244,-0.000653334,0.039544452,-0.00037982,0.042578126,-0.000394256,0.042680512,-0.005958935,0.011610429,-1359.30142,-0.047935198,0.866538237,0.014304942,-0.047908908,0.009739607
1,0.491148987,0.482960509,0.491958645,0.483877754,0.495360644,0.511999916,0.488307256,0.487797123,0.490738964,0.482678296,0.47842501,-1753.723811,0.491165065,0.913049772,0.490173035,0.482348266,0.470717411
5,1.000186821,0.938512693,1.000385305,0.939482966,1.036165274,0.98013849,0.996884794,0.941082825,1.069148325,1.0104622,0.982842733,-3067.525079,0.963510425,1.052745504,1.000419583,0.938456083,0.95998047
0.1,0.028631722,0.039169774,0.024642506,0.040290323,0.079950993,0.073053422,0.027473941,0.044149756,0.013551379,0.04204106,0.015285212,-1387.7151,0.039506051,0.948273963,0.019168575,0.03874887,0.009539544
1,0.505695274,0.449700196,0.505451595,0.451040638,0.509688173,0.477022224,0.506118324,0.457058388,0.507599424,0.454673971,0.5023851,-1747.899298,0.454485983,0.922777534,0.505959772,0.449135466,0.499833479
5,1.12070294,0.931544667,1.120181419,0.933016461,1.154548821,0.963741207,1.119156107,0.934991087,1.275897524,1.102402009,1.074530566,-3028.498135,0.96679458,1.052195154,1.120770412,0.930935084,1.044287432
0.1,0.066128408,-0.001908434,0.06358096,-0.000928394,0.068604884,-0.000315919,0.060804891,-0.000422769,0.040098571,-0.00538321,0.0122003,-1366.064225,-0.043619365,0.912957295,0.011275333,-0.043063512,0.009333046
