sigma_theta,n,SURE_MSE,SURE_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
5,5000,1.056148461,1.008833584,1.050511969,-15206.12374,1.01345952,1.074843361,1.055917796,1.008258308,1.04754394
0.1,1000,0.021770458,0.045297782,0.020176099,-1437.86347,0.045789694,0.936950154,0.021729913,0.044550201,0.010386002
1,1000,0.510841577,0.466196676,0.479509925,-1789.877763,0.476826309,1.06225036,0.507880759,0.464347243,0.467211125
5,1000,1.148111625,0.996597745,1.158109569,-2984.379795,1.024398982,1.106916912,1.149704423,0.994746165,1.115837834
0.1,2500,0.010805222,0.018517116,0.010759303,-3451.144973,0.017682839,1.006787245,0.011180682,0.017477883,0.010255987
1,2500,0.477077768,0.511327383,0.467107827,-4433.230694,0.516468074,1.063807856,0.475926876,0.509100505,0.459457233
5,2500,1.0013791,0.995177269,0.989353024,-7598.970077,1.004528263,1.077832218,1.00063727,0.99402044,0.982700411
0.1,5000,0.010141643,0.028215605,0.010172923,-6957.446539,0.02731769,1.028842498,0.010273355,0.027301136,0.009975784
1,5000,0.498600228,0.463701582,0.494336162,-8778.830396,0.464412436,1.074496494,0.49662037,0.462846619,0.489232044
5,5000,1.094970322,1.022594148,1.091548397,-15216.38508,1.028716093,1.093608251,1.095046358,1.022140735,1.086140423
0.1,1000,0.060828341,-0.00036488,0.021108033,-1369.783197,-0.014097419,0.96222169,0.022348214,-0.013285077,0.009711009
1,1000,0.476634476,0.437889319,0.476075365,-1767.03882,0.440405092,0.934705755,0.47642345,0.436065861,0.471216845
5,1000,1.107194161,0.987531419,1.059480148,-3059.898645,1.014281606,1.081688761,1.104627115,0.986575851,1.043451493
0.1,2500,0.065256062,-0.000747518,0.01391872,-3368.812817,-0.056824605,0.962153295,0.013285447,-0.05551321,0.010136574
1,2500,0.49012293,0.464730718,0.4912923,-4416.47736,0.466472698,1.010099794,0.490867998,0.463987636,0.488784934
5,2500,1.029743234,0.979815844,1.023180447,-7609.067431,0.996614778,1.060750704,1.030710722,0.978685134,1.007399145
0.1,5000,0.011070897,0.007691977,0.011019975,-6942.545728,0.006959863,1.005764296,0.011150511,0.00682557,0.00979211
1,5000,0.480069073,0.491211617,0.47918806,-8877.037081,0.491058057,1.042692878,0.480600851,0.489798805,0.478382011
5,5000,1.075958572,1.013872932,1.070338767,-15215.5845,1.019336627,1.084208455,1.076138593,1.0137261,1.063596926
0.1,1000,0.020706778,0.056245728,0.013431385,-1419.479717,0.057693334,0.976808729,0.014260386,0.057275997,0.009261188
1,1000,0.537325123,0.484845533,0.539092124,-1780.249094,0.485863709,1.007494546,0.539313965,0.482549164,0.524448302
5,1000,1.137905413,0.97871017,1.109078002,-2981.632314,1.007012483,1.092359331,1.134323135,0.975238742,1.085291448
0.1,2500,0.009708218,0.019741277,0.009934347,-3479.782921,0.019194487,0.956396465,0.009665359,0.019057294,0.00958976
1,2500,0.49464761,0.51784384,0.486698897,-4443.918983,0.521842056,1.016904512,0.495241708,0.516698045,0.48317642
5,2500,1.063416343,1.021296143,1.056208102,-7628.723329,1.033745474,1.09687874,1.064393596,1.019830355,1.046011786
0.1,5000,0.032438207,-0.000375396,0.009911207,-6906.788819,-0.022419334,1.036145444,0.01047264,-0.020659671,0.009723551
1,5000,0.469230147,0.486312365,0.467900057,-8888.77871,0.487212355,1.049656477,0.469940822,0.485176054,0.466510436
5,5000,0.994258476,1.015362888,0.986065989,-15212.7988,1.021448426,1.084980041,0.994470158,1.014876489,0.980065942
0.1,1000,0.010858439,0.044060018,0.011585937,-1391.178564,0.045249594,0.823927442,0.0119425,0.0432541,0.009553301
1,1000,0.498016885,0.417680006,0.490406167,-1739.003251,0.420808503,0.925047302,0.499128816,0.415726361,0.48323714
5,1000,1.038660141,0.966348417,1.035263814,-3037.037091,0.994386814,1.064990467,1.039708599,0.964922416,1.017530727
0.1,2500,0.011520933,0.015759052,0.011342162,-3466.722134,0.015453831,0.990074089,0.011348535,0.015358221,0.009862485
1,2500,0.480986942,0.465605986,0.476976289,-4407.745208,0.467030672,1.06524605,0.478569975,0.465374948,0.474807771
5,2500,1.1014781,1.004588376,1.09148575,-7662.037051,1.016444192,1.092914578,1.102422799,1.002874392,1.070878864
0.1,5000,0.015605786,-0.000100362,0.010048236,-6852.280992,-0.012777527,0.985240149,0.010518317,-0.011098513,0.009862264
1,5000,0.487292271,0.453301332,0.484190499,-8775.942113,0.454201388,1.049698327,0.487199284,0.452206148,0.483383952
5,5000,1.063159545,1.004487566,1.057255768,-15112.25151,1.010982209,1.084191929,1.063039452,1.00367342,1.049659108
0.1,1000,0.010273856,0.022617647,0.010724435,-1399.250347,0.021817383,0.910411042,0.010740168,0.02163402,0.0098131
1,1000,0.506040976,0.463895052,0.488415991,-1756.982555,0.467292728,1.045139862,0.504118603,0.46186554,0.468491766
5,1000,1.092544198,0.992671372,1.058928239,-2989.497182,1.039202364,1.115571808,1.093937635,0.991275442,1.043262103
0.1,2500,0.011309628,-2.43E-06,0.010888713,-3455.384494,-9.41E-05,0.919537021,0.010021757,0.000642111,0.009749735
1,2500,0.486979624,0.492716637,0.483790992,-4416.05484,0.493604532,1.057727159,0.48816937,0.492042422,0.478435119
