mu,k,SURE_pi_B100_MSE,SURE_pi_B500_MSE
7,50,0.005227723138822128,0.05415382135560919
3,50,0.17001586899330132,0.18091524601116646
5,50,0.07979661460092605,0.06543388419514043
7,50,0.0031044736318297304,0.0702057892883113
3,50,0.10682293606345597,0.11824575619578379
5,50,0.03526828990111429,0.07790238729773359
7,50,0.0037378116625431832,0.0030132342813786552
3,50,0.12652541135202178,0.10404867407374943
5,50,0.046936452128282666,0.01412421333035498
7,50,0.026515619895597125,0.023246274323757986
3,50,0.20152897608893372,0.17772545614186194
5,50,0.030841213713873175,0.05962317461215895
7,50,0.02181911279262566,0.011863081823608538
3,50,0.12300114257472011,0.19053011625751456
5,50,0.07763977161422307,0.07249366092393428
7,50,0.021404213581746705,0.04856675921114702
3,50,0.1522112476773406,0.16063599075932733
5,50,0.08390077656274166,0.06525651518571066
7,50,0.030324243697161076,0.007736881284067581
3,50,0.1515186885474584,0.16611936918934903
5,50,0.035358667697286406,0.03481020999045008
7,50,0.005765194996236457,0.0061843175324863995
3,50,0.14876063471464118,0.13229415018369187
5,50,0.051361314082198586,0.08120931828421755
7,50,0.044011492673778733,0.011266227907871473
3,50,0.19464894367390043,0.1530717942453424
5,50,0.08038926481109404,0.006863044974228028
7,50,0.007517458627522561,0.0020690718048298863
3,50,0.21530850216867503,0.10839184002797615
5,50,0.06527180059183228,0.03528180555416145
7,50,0.019584543153823103,0.043450795798653304
3,50,0.1696340207415471,0.11857583861387022
5,50,0.081299075966746,0.09065100596394672
7,50,0.00538944348667741,0.007817126836591165
3,50,0.19651901497240057,0.12624293799508918
5,50,0.038276978749578486,0.06234840550540622
7,50,0.03294578597810658,0.006881311536894679
3,50,0.14059962470226758,0.14343763585886793
5,50,0.02623036059934721,0.027818253844978123
7,50,0.008502062061485051,0.028135393392469833
3,50,0.1531614370389437,0.12234730784543063
5,50,0.045946532179770176,0.06334158086212566
7,50,0.002598141158553032,0.0024677576371337343
3,50,0.18616776147702171,0.16451509509476892
