,mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
2,5,5,0.00809945561262638,-0.002399332248383189,0.008028666936871284,-0.002400118824639094,0.09141089728750167,0.04005723750208449,0.0608767426362081,0.01933653350223699,0.10499739669986548,0.04682067016224028,0.013605765160931746,-1435.4847318921043,0.36698306805395714,0.4527274976394915,0.00802243493520831,-0.002410437384486386,0.010162526479203347
3,7,5,0.010750767797602093,0.04523083469491667,0.010938482053711767,0.04524468035188738,0.011490019071482152,0.04589545688001272,0.1350921462757824,0.1618789883958973,0.18627048655242864,0.2156044799196502,0.009469962793962927,-1475.0294274893845,0.9657457041654227,0.6010159857009351,0.010948580558494294,0.04522636153374697,2.2284164250671856e-07
0,3,50,0.16201508833132233,0.182810270273229,0.1618567054889375,0.18279843032014378,0.16580109888084285,0.18750547276292878,0.15940358897629747,0.2010029840941711,0.16018872783053295,0.20053325076342618,0.15750766380476072,-1584.8514554284634,0.47933949908941487,0.6873155152361553,0.16200280143347706,0.18278111076277764,0.14839499972103362
1,4,50,0.15500882923572223,0.07969036681718786,0.15501277035011865,0.07967785869348677,0.1558346368232588,0.08289386360393587,0.17927184682023642,0.1323123159831921,0.17889901089835633,0.13220314286010784,0.14932979592502096,-1585.86057418296,0.8312087903064656,0.8908597549266812,0.15500125083670058,0.07966626562838473,0.14952360032667067
2,5,50,0.040578223894499006,-0.047806960907608755,0.040256681889098256,-0.04784687871611754,0.04175991139165381,-0.04179466660251501,0.17147757674813374,0.07403426992447157,0.17180593642366634,0.07400379089138778,0.03995445712882211,-1572.9121821542758,1.9018937035836156,1.0326293852564568,0.04021486930621656,-0.04785799761606199,0.0400804310343606
3,7,50,0.025641093365460433,-0.019029429258187066,0.02548890374997187,-0.018962723838770672,0.05932693651264234,-0.010856733800240137,0.34537806380099806,0.31779281604473114,2.193812068711734,2.195010692672564,0.008396771006288042,-1608.6006772858725,4.015034652416495,1.3491559197976044,0.020098525971901267,-0.016985629927158585,0.0017000516285716307
0,3,50,0.16858107686980758,0.15027783561538854,0.16856063630649398,0.15028860267682875,0.18912296182545,0.17709718104147443,0.17171880860567423,0.1597883543626781,0.17156189124208512,0.15970761857814683,0.16780031339223564,-1561.8242888639427,0.3984384947581125,0.656164195236935,0.16857778322007555,0.1502609584600948,0.1669442699024283
1,4,50,0.14946992916917667,0.06981639786724736,0.1512988847750791,0.07029166323095501,0.17109612024918885,0.0875746794266197,0.1883785790304448,0.12422996429601062,0.18825625182726116,0.12417964136836326,0.15540318852157148,-1583.4387094357464,0.871214776306138,0.8878887459788737,0.15132037288991992,0.07028814674945352,0.1549551993030231
2,5,50,0.04355703581492066,-0.11835740174831141,0.043496690287923606,-0.11840653435548132,0.07453771514572387,-0.10652231986890354,0.1359446692361562,0.05908628292511776,0.1355266119880855,0.05882167675832375,0.03805123937795209,-1548.8393552961545,2.3451589905019454,1.1260111508272321,0.04349803156191315,-0.1184255310644578,0.0331867072123099
3,7,50,0.00769146433806453,0.0626093405189663,0.007673213798664736,0.06259485846978259,0.009590363502679326,0.06584362734341767,0.3446439962820281,0.3961236984505999,1.8059652073456385,1.8453678064632422,0.006800697799209131,-1649.9233858023226,4.192712690175533,1.3376596566644212,0.00751335833140196,0.0626248398244602,5.7051749679204965e-06
0,3,50,0.1499725406147983,0.19990150643674473,0.14993031235852355,0.1999371912972065,0.17158832338277075,0.2160816726721357,0.15985996918710338,0.20471108165287752,0.15178375598239227,0.20800160785529237,0.148647066779837,-1581.067033551014,0.37679078220647944,0.6886189473986649,0.14995321511433995,0.19989381835183803,0.13174367505397275
1,4,50,0.14532975407385354,0.12343960056499123,0.1456500934334264,0.12350538477993724,0.14842519339955093,0.13069387755238746,0.18160110692159878,0.15658014003555992,0.1815371901906032,0.15645889600091278,0.14140615745246668,-1601.6623280335234,1.2204129228171015,0.8706504274162317,0.14523775969904448,0.1234078583207645,0.1400229809703042
