,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter,m,n,experiment
62,SURE-PM random,0.3526022947573869,0.35329335997136235,0.35271979578749246,0.35262980002194816,4,200,h
63,SURE-PM random,0.352601200695807,0.3532375542058221,0.3527096488647387,0.3526276450632404,4,200,h
64,SURE-PM random,0.3526016995963888,0.3532427377634763,0.3527123551673258,0.3526298304787374,4,200,h
65,NPMLE,1.0449556737696732,,,,5,200,h
66,SURE-PM uniform,0.27510116204712776,0.27594942629357505,0.2752545818850507,0.2751389586982394,5,200,h
67,SURE-PM NPMLEinit,0.27506340416329506,0.27506716771588857,0.275064319801681,0.27506361712629074,5,200,h
68,SURE-PM random,0.27510334944838744,0.27590374187301026,0.275254110186612,0.27514203106349555,5,200,h
69,SURE-PM random,0.27509605455258707,0.2758944101088278,0.2752374584048698,0.2751318666940529,5,200,h
70,SURE-PM random,0.27510040069804376,0.2758874346065683,0.27525154576638317,0.2751371336986759,5,200,h
71,SURE-PM random,0.275102040909901,0.27588022340356416,0.27526031208923285,0.27514116825926604,5,200,h
72,SURE-PM random,0.2751011810357151,0.27583433242674926,0.2752448720755385,0.2751385251273499,5,200,h
73,SURE-PM random,0.2751013508673279,0.27583536991218127,0.27523992664250185,0.27513720440017553,5,200,h
74,SURE-PM random,0.2751032325609248,0.27586507734732135,0.27525230207554346,0.27514534713786903,5,200,h
75,SURE-PM random,0.27510109617652373,0.2759247961341309,0.2752607027545126,0.27513998422639857,5,200,h
76,SURE-PM random,0.2751040634662688,0.27589563476000606,0.27526462266229246,0.275144369450162,5,200,h
77,SURE-PM random,0.2751044377452462,0.2758962332536183,0.2752549280356396,0.27514398428975484,5,200,h
78,NPMLE,1.0923774846024132,,,,6,200,h
79,SURE-PM uniform,0.31440805235415836,0.31482511745232034,0.31452646102247883,0.3144459339043786,6,200,h
80,SURE-PM NPMLEinit,0.3143698115317203,0.3143731559392701,0.31437065288209765,0.3143700625344779,6,200,h
81,SURE-PM random,0.31440618222732497,0.3148107717622321,0.3145189727201158,0.31444209183751526,6,200,h
82,SURE-PM random,0.31440185467973947,0.3148463835431764,0.3145322943818638,0.31444316244691095,6,200,h
83,SURE-PM random,0.31441070803724214,0.31484142928743153,0.31453599910753527,0.3144514019121496,6,200,h
84,SURE-PM random,0.31441185487633133,0.31481512587471644,0.3145341639812594,0.3144521185429792,6,200,h
85,SURE-PM random,0.3144084656176348,0.31485217889810685,0.31453200095017053,0.3144471107646423,6,200,h
86,SURE-PM random,0.31441246932937306,0.3148166702694095,0.3145336159350541,0.3144500869577723,6,200,h
87,SURE-PM random,0.3144101085833321,0.3148094848977358,0.31453186623445917,0.31444893075840086,6,200,h
88,SURE-PM random,0.3144112701190443,0.31483406163233185,0.31452534597920645,0.31444516521642074,6,200,h
89,SURE-PM random,0.3144106090450006,0.3148611734649174,0.3145334243108411,0.3144494726352076,6,200,h
90,SURE-PM random,0.3144100062464429,0.3148430759679323,0.3145380712270689,0.3144505695619101,6,200,h
91,NPMLE,1.3345032312104563,,,,7,200,h
92,SURE-PM uniform,0.31456396136886594,0.31482711748699344,0.31462089890770556,0.3145819375523358,7,200,h
93,SURE-PM NPMLEinit,0.31453732286061564,0.31454886925583253,0.3145404609924104,0.3145382101863066,7,200,h
94,SURE-PM random,0.3145636711715605,0.31485510379633624,0.3146137249745074,0.31457952064328665,7,200,h
95,SURE-PM random,0.3145633166663801,0.31487615215955445,0.314628703976518,0.31458331348231283,7,200,h
96,SURE-PM random,0.3145644998049332,0.31485521438169956,0.31462134101892714,0.31458186904985963,7,200,h
97,SURE-PM random,0.3145632114657876,0.31487186794839106,0.31461915097451976,0.3145811421873866,7,200,h
98,SURE-PM random,0.31456473049065337,0.3148247361496325,0.3146168171489684,0.3145861558614386,7,200,h
99,SURE-PM random,0.3145644017981667,0.31486781179458617,0.3146247598960183,0.31458204528036376,7,200,h
100,SURE-PM random,0.3145649757259639,0.31482553524741674,0.3146189189791896,0.31458245265171214,7,200,h
101,SURE-PM random,0.3145627229767575,0.3149166597045668,0.31462451223290727,0.31458049533438126,7,200,h
102,SURE-PM random,0.31456680880343085,0.31485521508183667,0.3146255332801613,0.31458535614983857,7,200,h
103,SURE-PM random,0.3145734336845497,0.31480495784026874,0.3146218813657212,0.31458285365320665,7,200,h
104,NPMLE,1.2754792388525045,,,,8,200,h
105,SURE-PM uniform,0.269368001884672,0.2699979563262937,0.26948855099140645,0.2693972266317114,8,200,h
