,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter,m,n,experiment
29,SURE-PM random,0.10883013911093102,0.10918874625353105,0.10890389087524184,0.10885171823080363,2,200,g
30,SURE-PM random,0.10883200675058091,0.10922405158097831,0.1089137534476916,0.10885594320031061,2,200,g
31,SURE-PM random,0.10883179012477101,0.10925305418159902,0.10891308870870425,0.1088549406855352,2,200,g
32,SURE-PM random,0.10883025143452514,0.10922576186564271,0.10891008387175774,0.1088542488820778,2,200,g
33,SURE-PM random,0.1088331345990759,0.10922832282799007,0.1089179532071229,0.10885704664125434,2,200,g
34,SURE-PM random,0.1088306587301895,0.10923797683549274,0.1089384172295717,0.10886820158753899,2,200,g
35,SURE-PM random,0.1088323244467395,0.10922871575505198,0.10891102684652737,0.10885415324098786,2,200,g
36,SURE-PM random,0.10883296621634223,0.10924166096658502,0.10891566940247004,0.10885657547519849,2,200,g
37,SURE-PM random,0.10883137642529406,0.10924238985720734,0.10891014695368469,0.10885406700457985,2,200,g
38,SURE-PM random,0.10883253834416223,0.10924790820741748,0.1089165646653457,0.10885669087707228,2,200,g
39,NPMLE,1.0089659357868574,,,,3,200,g
40,SURE-PM uniform,0.16212401860913922,0.16264872102809427,0.16221690614073764,0.16214670618933857,3,200,g
41,SURE-PM NPMLEinit,0.16209940361468306,0.16211564751806115,0.1621033986181137,0.1621005576382847,3,200,g
42,SURE-PM random,0.1621293742923128,0.16260735222408038,0.16221663904509867,0.16214852542078156,3,200,g
43,SURE-PM random,0.16212500264427582,0.16261967459415097,0.16221852242073248,0.1621479471352513,3,200,g
44,SURE-PM random,0.1621271290955172,0.1626239432556511,0.16221260045962446,0.16214609505087674,3,200,g
45,SURE-PM random,0.16212474502546706,0.16259973400412228,0.1622020121673544,0.16214294739915353,3,200,g
46,SURE-PM random,0.1621259209918528,0.1626158296313838,0.16222160219085247,0.16215073628588172,3,200,g
47,SURE-PM random,0.16212652504617586,0.16261373294451617,0.1622194619792652,0.16215076897365002,3,200,g
48,SURE-PM random,0.1621247220886437,0.16260717516787096,0.16221515368273992,0.1621469883198082,3,200,g
49,SURE-PM random,0.16212361173761594,0.16261221373090137,0.1622100782933149,0.16214802573864623,3,200,g
50,SURE-PM random,0.1621225264593358,0.1626130128213365,0.1622070467254553,0.16214372189389373,3,200,g
51,SURE-PM random,0.16212521840981714,0.16264786132805858,0.1622244549028423,0.16214961903082256,3,200,g
52,NPMLE,1.047220267170501,,,,4,200,g
53,SURE-PM uniform,0.1567712318283792,0.1572627012629528,0.15687780771933288,0.15679947102165914,4,200,g
54,SURE-PM NPMLEinit,0.15673812688449854,0.15686681537022795,0.15674077734930972,0.15673794189987578,4,200,g
55,SURE-PM random,0.15677381908328808,0.15727682299764414,0.15688962629983824,0.1568050056972734,4,200,g
56,SURE-PM random,0.1567725923583364,0.15729598441023834,0.1568847534002526,0.15680259200008298,4,200,g
57,SURE-PM random,0.15677112462109544,0.15726338787619018,0.15687842188820805,0.15679935113524623,4,200,g
58,SURE-PM random,0.15677282658997665,0.1573094098091467,0.1568864012100529,0.15680331082209253,4,200,g
59,SURE-PM random,0.15677225494975194,0.15726433715834584,0.15688334733489268,0.1568017545193982,4,200,g
60,SURE-PM random,0.1567706423775972,0.15724557169771597,0.15687586173041074,0.15679895146795647,4,200,g
61,SURE-PM random,0.15677111045165656,0.15722349064648017,0.15687518571938322,0.1567997248985593,4,200,g
62,SURE-PM random,0.15677326112717987,0.15730536865066935,0.1568883150145069,0.15680338925037174,4,200,g
63,SURE-PM random,0.15677336320735857,0.15731108431743973,0.15691311584752715,0.15680380837717098,4,200,g
64,SURE-PM random,0.15677435015005234,0.1572934293096191,0.15689039386110448,0.1568224588243883,4,200,g
65,NPMLE,1.2517154684434282,,,,5,200,g
66,SURE-PM uniform,0.15948446487221155,0.15988843460975274,0.15956357833614837,0.15950608748707837,5,200,g
67,SURE-PM NPMLEinit,0.15946029040067153,0.15948860142170637,0.15946741971926953,0.15946171296146538,5,200,g
68,SURE-PM random,0.15948325398951937,0.15991409890346767,0.15955772456766723,0.15950305437467271,5,200,g
69,SURE-PM random,0.15948559574427265,0.1599517006334328,0.15956623313919308,0.15950814639296226,5,200,g
70,SURE-PM random,0.15948460503553505,0.15989712314459908,0.15956364946136786,0.15950576367247166,5,200,g
71,SURE-PM random,0.15948325978570949,0.16003098302848343,0.15955564485054416,0.1595028459359039,5,200,g
72,SURE-PM random,0.15948456185103324,0.15986515571400006,0.15956178263543846,0.15950606414598817,5,200,g
73,SURE-PM random,0.15948218969903258,0.15985518738530444,0.1595533451154111,0.15950144451221007,5,200,g
74,SURE-PM random,0.15948207337414644,0.15993411822436443,0.15955194015444135,0.15950077349089262,5,200,g
75,SURE-PM random,0.15948764293042714,0.15997131449063645,0.1595728555833007,0.15951129440166079,5,200,g
76,SURE-PM random,0.1594837227998714,0.15985855463164902,0.15956198365169535,0.15950460870064773,5,200,g
77,SURE-PM random,0.15948623667822126,0.15985692946144497,0.1595613379047723,0.15951716091976992,5,200,g
78,NPMLE,1.1260318851960098,,,,6,200,g
79,SURE-PM uniform,0.13540636582729712,0.13942708056513398,0.13549413053812656,0.13543110699636465,6,200,g
80,SURE-PM NPMLEinit,0.13538227212659926,0.1354499555533816,0.13540278313978163,0.13538885985196936,6,200,g
81,SURE-PM random,0.13541236919855806,0.13595277198400432,0.13549537631533262,0.1354324002956195,6,200,g
82,SURE-PM random,0.13540841729313782,0.13578958635165,0.1354950717912705,0.13544545543446687,6,200,g
83,SURE-PM random,0.13540765217721415,0.1371434222544209,0.1354981141887209,0.1354333818634907,6,200,g
84,SURE-PM random,0.13541109580167032,0.13581478647264256,0.13549876517621448,0.13543448311287307,6,200,g
85,SURE-PM random,0.13540702335119434,0.13580208145258355,0.1354936576546298,0.13543183483219295,6,200,g
86,SURE-PM random,0.1354042062718002,0.13579320086662577,0.1354850112609215,0.13542710226690174,6,200,g
87,SURE-PM random,0.13540899924891953,0.14054690480530255,0.1354973212025302,0.13543179945684203,6,200,g
88,SURE-PM random,0.13543849593205196,0.13996272625158462,0.1354947632909199,0.13543237816893552,6,200,g
89,SURE-PM random,0.1354092366124275,0.13790111970569782,0.13550807566821177,0.13543869887766655,6,200,g
90,SURE-PM random,0.13540928545559994,0.14022311106312224,0.1355098339293602,0.13543699983383703,6,200,g
91,NPMLE,1.3180414388945147,,,,7,200,g
92,SURE-PM uniform,0.12881235211956937,0.1290540109572054,0.12887306351545522,0.12882700603037545,7,200,g
93,SURE-PM NPMLEinit,0.12878725238454042,0.1287916266379935,0.12878834413769116,0.12878755647408002,7,200,g
94,SURE-PM random,0.12881336352678627,0.12908491476998055,0.12886749654346066,0.128828112123057,7,200,g
95,SURE-PM random,0.12881186493926886,0.1290828419793795,0.12887314596519073,0.12882929117279102,7,200,g
96,SURE-PM random,0.12881256517436337,0.1290955927517764,0.1288760646736594,0.12883059409982484,7,200,g
97,SURE-PM random,0.12881147232385776,0.12907834352111824,0.1288660266284059,0.12882763457499588,7,200,g
98,SURE-PM random,0.1288108785627372,0.1290466539925264,0.12886364478006673,0.12882659538867247,7,200,g
99,SURE-PM random,0.1288102237024464,0.12905159432890603,0.1288626460732689,0.1288258628268215,7,200,g
100,SURE-PM random,0.12881042589846925,0.12904014746740405,0.12886228093852733,0.12882584262026098,7,200,g
101,SURE-PM random,0.12881050309639935,0.1290480443239581,0.12886344945109218,0.1288260348911442,7,200,g
102,SURE-PM random,0.1288108582343109,0.1290569835822757,0.12886444050375526,0.12882661997758352,7,200,g
103,SURE-PM random,0.1288128591853425,0.12909846921558443,0.12887082133473723,0.12882884887277496,7,200,g
104,NPMLE,1.5160547911508133,,,,8,200,g
105,SURE-PM uniform,0.15872995878887003,0.15895006738086118,0.1587772002831396,0.15874414916336413,8,200,g
106,SURE-PM NPMLEinit,0.15870870392086822,0.15871317589190362,0.1587098740074798,0.1587090349918126,8,200,g
107,SURE-PM random,0.15873123244078946,0.1590087073464438,0.15878807579911913,0.15874685315077905,8,200,g
108,SURE-PM random,0.1587301648476231,0.15896181918714,0.158787850234266,0.15874452471043093,8,200,g
109,SURE-PM random,0.15873011881609847,0.1589467955226064,0.1587778317659076,0.15874386448244424,8,200,g
110,SURE-PM random,0.15873121579527008,0.15896225392645996,0.15878478815383779,0.15874687603412277,8,200,g
111,SURE-PM random,0.15873178748063788,0.1590172063552086,0.1587907081378389,0.15874826718058435,8,200,g
112,SURE-PM random,0.15873001542395862,0.158951867448257,0.15878024948854325,0.158749203439396,8,200,g
113,SURE-PM random,0.1587297893583478,0.15896322867521667,0.15877890404331652,0.15874489752594506,8,200,g
114,SURE-PM random,0.15872963531757414,0.15894781480671724,0.1587769324937009,0.15874360142837532,8,200,g
115,SURE-PM random,0.15873138145829024,0.15896882731181733,0.15878565253785204,0.15874719908954213,8,200,g
116,SURE-PM random,0.1587421266541174,0.15897516267756864,0.15878611097613735,0.15874781841331334,8,200,g
117,NPMLE,1.5349050735192953,,,,9,200,g
118,SURE-PM uniform,0.1204534930891122,0.12089382613897108,0.1205334321035516,0.12047458533835588,9,200,g
119,SURE-PM NPMLEinit,0.12042384556274477,0.12043078378438303,0.12042551956774453,0.12042431068352222,9,200,g
120,SURE-PM random,0.12045296736786631,0.12090924243453337,0.12052964723408024,0.12047391769379487,9,200,g
121,SURE-PM random,0.12044891872624383,0.12090401181794298,0.12052823266598452,0.12046972489478414,9,200,g
122,SURE-PM random,0.12045177738019142,0.12089646073327444,0.12052368691902891,0.12047136509846446,9,200,g
123,SURE-PM random,0.1204514856490276,0.12105828218144793,0.12052669929224016,0.12047508267067122,9,200,g
124,SURE-PM random,0.120453126937796,0.12087662426589965,0.12053224002906254,0.12047438742173817,9,200,g
125,SURE-PM random,0.12045339718702756,0.12091800403534869,0.12053433558419542,0.12047521009174958,9,200,g
126,SURE-PM random,0.12045802082982071,0.12084141310984087,0.12051916922033534,0.12047600071228423,9,200,g
127,SURE-PM random,0.12046797617579884,0.12088378591248819,0.12052893989926368,0.12047403202145211,9,200,g
128,SURE-PM random,0.12045239482430396,0.12089575688537899,0.1205233704808991,0.1204771737998741,9,200,g
129,SURE-PM random,0.12046011437526204,0.12095665215810364,0.12053510963192003,0.12047501124833473,9,200,g
