,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter
45,SURE-PM random,1.2947840577205147,1.3188553690877722,1.2951993426776967,1.2948688970912219
46,SURE-PM random,1.2948307430309496,1.3944054000208905,1.2954054607543457,1.2949539821586558
47,SURE-PM random,1.29480383413877,1.3233367019996836,1.2950037261754455,1.2948624599897591
48,SURE-PM random,1.294814484862008,1.3233902581457613,1.2950442642068152,1.294882298157808
49,SURE-PM random,1.29483852755584,1.320376992732116,1.295381880235642,1.2949772770128225
50,SURE-PM random,1.2948406181700454,1.3233985787833376,1.2953446359646232,1.294975733064096
51,SURE-PM random,1.29480361736301,1.324989085481967,1.2949960014553807,1.2948603773254985
52,NPMLE,5.732002607838329,,,
53,SURE-PM uniform,1.5037596367421329,1.5138267307289837,1.5038734343180236,1.503788196376959
54,SURE-PM NPMLEinit,1.4974409381932177,1.4974514888754695,1.497443288033672,1.4974416150100078
55,SURE-PM random,1.5037590885504815,1.5141267494591668,1.5038686136026447,1.5037856609091396
56,SURE-PM random,1.5037619804170916,1.5132081465121499,1.5038752151049348,1.5037877904544736
57,SURE-PM random,1.5037713095822514,1.5142553600905118,1.5038911246339652,1.5037948056741421
58,SURE-PM random,1.503768157448861,1.514693495976493,1.5038994516879196,1.5037988297528508
59,SURE-PM random,1.5037640511836476,1.514471838794037,1.5038901764216521,1.503795558350761
60,SURE-PM random,1.5037591706637372,1.513507247209021,1.5038698464638978,1.5037859585636133
61,SURE-PM random,1.503757102278403,1.5131625197107517,1.503864892595333,1.5037828637627686
62,SURE-PM random,1.5037576710786353,1.5143395384207397,1.5038566156446311,1.5037815422967518
63,SURE-PM random,1.5037621251777344,1.5142130910535818,1.503880363767063,1.5037904965708528
64,SURE-PM random,1.5037627417188562,1.5151700671987587,1.5038790952444745,1.5037905123808262
65,NPMLE,5.949775223932411,,,
66,SURE-PM uniform,1.3520610426603992,1.3753364675846882,1.3521239101474436,1.3520811556398558
67,SURE-PM NPMLEinit,1.3520225505235408,1.3520715378489359,1.3520343601561138,1.3520261577250006
68,SURE-PM random,1.3520621351746576,1.3746174619538538,1.3521213502136629,1.352082581966942
69,SURE-PM random,1.3520684843351052,1.373658512113768,1.3521123185080375,1.35208275323492
70,SURE-PM random,1.352064679831857,1.3764099322511596,1.3521419339936052,1.3520886542434654
71,SURE-PM random,1.3520618814824548,1.376656408743745,1.3521224862645023,1.3520814313277218
72,SURE-PM random,1.3520748933065538,1.374115023213393,1.3521318307693184,1.3520928413727034
73,SURE-PM random,1.3520654034390747,1.3747123910949244,1.3521285469016078,1.3520869305635166
74,SURE-PM random,1.3520638193048444,1.3753369120869285,1.3521161915427593,1.3520817356695205
75,SURE-PM random,1.3520579742698646,1.375973301164201,1.3521155170971888,1.3520768943785584
76,SURE-PM random,1.3520661472181825,1.3752009419700777,1.3521453779911616,1.3520894075032095
77,SURE-PM random,1.3520685734673055,1.3760466329409473,1.3521405768615051,1.3520927548282942
78,NPMLE,5.8126227514044055,,,
79,SURE-PM uniform,1.5498985676112278,1.550482860094399,1.5500137601555162,1.5499280837422702
80,SURE-PM NPMLEinit,1.4632436959356465,1.4632765295081724,1.4632519847952592,1.4632460405297076
81,SURE-PM random,1.549905334905369,1.550348866160587,1.5499877249519038,1.5499190116143524
82,SURE-PM random,1.5498966947487918,1.5505074775409884,1.550009418316331,1.5499246464388166
83,SURE-PM random,1.5498976677125489,1.5504521210436046,1.5500058643785957,1.5499257199884788
84,SURE-PM random,1.5499023515050334,1.550714790406293,1.5500444423039499,1.5499368343843747
85,SURE-PM random,1.5498967373869181,1.5503866458165232,1.5499960673255213,1.5499231383830228
86,SURE-PM random,1.5499058091119406,1.5505967085392138,1.5500624810821193,1.5499430272302817
87,SURE-PM random,1.5498930103070676,1.5503648712789966,1.5499643191497945,1.5499129132210527
88,SURE-PM random,1.5498981808746992,1.5504590964223808,1.5500145043807976,1.5499282268958103
89,SURE-PM random,1.5499067990557802,1.5504915030894966,1.5500210552162867,1.5499296909159666
90,SURE-PM random,1.5498923591010128,1.5502846674486699,1.5499675091683764,1.549913674660433
91,NPMLE,5.988483569992838,,,
92,SURE-PM uniform,1.55427488876966,1.5552014232938225,1.55441009071563,1.5543055387365448
93,SURE-PM NPMLEinit,1.4957888517599562,1.4957911909217885,1.495789055126311,1.4957885309292207
94,SURE-PM random,1.5542721235035915,1.5551385034028342,1.5544082637952734,1.5543065829575895
95,SURE-PM random,1.5542756326488874,1.555163374078264,1.5544343361067157,1.5543139708382907
96,SURE-PM random,1.5542773994181769,1.5553121758297166,1.5544477820891844,1.5543173521163507
97,SURE-PM random,1.5542775203127124,1.5552862740375106,1.5544310100446588,1.5543115402101964
98,SURE-PM random,1.5542787898297874,1.5551869845071205,1.5544117504575816,1.5543084286102098
99,SURE-PM random,1.5542713083848243,1.5551787435522997,1.5544021739025182,1.5543026796293062
100,SURE-PM random,1.5542732328207334,1.555173691710621,1.5544235465989922,1.5543069017046465
101,SURE-PM random,1.5542708575455206,1.5551953421534208,1.5544016701426395,1.5543072058298626
102,SURE-PM random,1.5542702141999152,1.555101495876268,1.5543895309971238,1.5542999053302886
103,SURE-PM random,1.5542774290430341,1.5552338287162168,1.5544341373956976,1.554316809409223
104,NPMLE,6.7613910306461005,,,
105,SURE-PM uniform,1.676560783921035,1.676995843251869,1.6767968557558908,1.6767217712950497
106,SURE-PM NPMLEinit,1.349013463245836,1.3491064491727507,1.3490285982359325,1.349016163817119
107,SURE-PM random,1.4140150588415128,1.6735322092671328,1.434987654077509,1.4141833701918876
108,SURE-PM random,1.4140355700338234,1.6737104334365625,1.4395720807092818,1.414244073706534
109,SURE-PM random,1.41403309201499,1.6731867395416815,1.4420929647257044,1.4142645408316372
110,SURE-PM random,1.4140143191346317,1.6722839832547123,1.4459655581770636,1.4142424805681435
111,SURE-PM random,1.414063417948251,1.676739840057994,1.4719049550357142,1.4144766933012187
112,SURE-PM random,1.6764684750386265,1.6769956486828261,1.6767588958804958,1.6766190478963658
113,SURE-PM random,1.6764416679224319,1.6770057685559663,1.676722345199267,1.6765784730124427
114,SURE-PM random,1.6765768405530634,1.6769989636167588,1.6767978872343798,1.676709029358056
115,SURE-PM random,1.6765279808791478,1.6770361550965793,1.6767964876736317,1.6766718534608032
116,SURE-PM random,1.6765387224381418,1.677056853320172,1.6768027098538716,1.676680182906316
117,NPMLE,7.80093896683941,,,
118,SURE-PM uniform,1.4373245032559914,1.4512634967917217,1.4379752618363597,1.4374054909384086
119,SURE-PM NPMLEinit,1.4107229539365949,1.4108725861752647,1.4107621993604682,1.4107342233039464
120,SURE-PM random,1.4373247038843573,1.4504136705252069,1.437885019083605,1.4373972451174597
121,SURE-PM random,1.4373410875634989,1.4503037057936468,1.437881554989928,1.4374330481482815
122,SURE-PM random,1.4373430682822004,1.4514451225989058,1.4381341272400567,1.4374574630974108
123,SURE-PM random,1.4373628564211691,1.4522508665703002,1.4382091968301807,1.43749786083394
124,SURE-PM random,1.4373676440407104,1.449954317483423,1.4380415423155608,1.4374908718778068
125,SURE-PM random,1.4373187204792828,1.4503378877456903,1.4378143291484746,1.4373869536886439
126,SURE-PM random,1.4373244754698122,1.4512691424920474,1.4378798636138175,1.4374039050527927
127,SURE-PM random,1.43734501032342,1.4514212825338342,1.438063130603769,1.4374661378878988
128,SURE-PM random,1.4373650875057167,1.4516819392625786,1.4381568655605803,1.4375026491956584
129,SURE-PM random,1.4373557887690578,1.4509388284938365,1.4381024163049245,1.437488797389895
