,n,experiment,MSE_misspec,MSE_NPMLEinit,MSE_NPMLE,SURE_misspec,SURE_NPMLEinit,SURE_NPMLE,data,NPMLE_lower_SURE,seed
2,100,e,0.17494553034868854,0.19513071660227108,0.25552061224766776,0.12241756561343835,0.16439728345750446,0.2990161696615993,train,False,1928
3,400,c,0.05370216702450284,0.05416211248297717,0.0663435250173093,0.0561373493081507,0.05607483226961918,0.6262313946360397,train,False,1928
4,400,d,0.022371311556476266,0.022081340964735255,0.008311271808055852,0.010380446549555274,0.010248281261965761,0.0882429471968986,train,False,1928
5,400,e,0.1892922944008145,0.18993765001065893,0.30773088227240264,0.15913807536298472,0.1591980870548739,0.3798516614287666,train,False,1928
0,100,c,0.07261810880335509,0.13244092223228104,0.07483337201809323,0.059822594490075785,0.031500343897485905,0.8865728027978608,train,False,1929
1,100,d,0.017585414968967112,0.017603931644600924,0.010746357247408888,0.0023356734317400195,0.0023341758089206978,0.006527778289883574,train,False,1929
2,100,e,0.17110763586530667,0.17662160969952087,0.1915164355222584,0.08039008456420824,0.10058829371038996,0.3304302630154487,train,False,1929
3,400,c,0.09611007264251067,0.06650990516420598,0.08705143695173322,0.04020982425837247,0.049162511684969705,0.4702185534484978,train,False,1929
4,400,d,0.00358343010315835,0.0035793591797767823,0.004096337185312087,-0.0011062552832102135,-0.0011128346385256371,0.00628114227298143,train,False,1929
5,400,e,0.19013767038817178,0.19358315741585494,0.2840988642838823,0.16174602356687828,0.1619345093802083,0.34383414128340023,train,False,1929
0,100,c,0.0707033417977236,0.12329981754457134,0.11035514685235441,-0.08393011906486365,-0.11449864513194782,0.9065516494839216,train,False,1930
1,100,d,0.0038512109537009774,0.003851225005313234,0.004830964588397547,-0.000193332004313298,-0.0001933818912337415,0.049047415824655084,train,False,1930
2,100,e,0.21135870153929978,0.22461089376737053,0.288952521609513,0.12022106695156438,0.12441280946025884,0.36114018568959416,train,False,1930
3,400,c,0.06597416097217733,0.06568472996953187,0.09714522577050502,-0.010247904928261988,-0.010266157046986208,0.6166588075615755,train,False,1930
4,400,d,0.0036688155837363923,0.0036688931758061412,0.004307277959466752,-0.013190459267514,-0.01319082312016171,0.04928990029214411,train,False,1930
5,400,e,0.14311060355684255,0.14064486826892444,0.23330755598007202,0.1384167592910495,0.13728587055643407,0.3243991017078294,train,False,1930
0,100,c,0.14048232593073026,0.08393381884136698,0.12969300418593635,0.10841241283110549,0.11531887640587812,0.3218894261047863,train,False,1931
1,100,d,0.008665494106017128,0.00865931102408801,0.008478034443904473,0.010477352189123774,0.010476627868592523,0.02406642521435366,train,False,1931
2,100,e,0.23603916844843473,0.23607150204611027,0.29432334861119896,0.1364213071818498,0.1364146169903632,0.2447557952912046,train,False,1931
3,400,c,0.05878344960886709,0.059690445824154524,0.08858973839586066,-0.008076273451441055,-0.00823866950637779,0.30574624440640447,train,False,1931
4,400,d,0.005809312306371921,0.0057975432658281135,0.005261319732017921,0.0008471056380350284,0.0008428611979836732,0.10889418370078513,train,False,1931
5,400,e,0.1963966793585269,0.19639364297379433,0.2883613592448075,0.17763049282241142,0.17761463170886793,0.3359386115441374,train,False,1931
0,100,c,0.08449438495586278,0.08450401319243506,0.10988065948063441,-0.04601815000680709,-0.04602058996608413,0.5526806451942429,train,False,1932
1,100,d,0.004172147596310955,0.00417223635112805,0.003581957137920661,-0.01430200850986454,-0.014302266844371286,0.16350880384464545,train,False,1932
2,100,e,0.17938602417093794,0.17948738240924444,0.24953943215468471,0.12434626237634906,0.12433873708310056,0.2569216412126441,train,False,1932
3,400,c,0.07683641134801213,0.0759095500050258,0.09986409801613631,-0.0021210921716517815,-0.003452507702596108,0.5804290920519657,train,False,1932
4,400,d,0.005312570183730687,0.005304857081809126,0.005474548070791154,0.005180549930415612,0.0051785914518982425,0.01004043101337853,train,False,1932
5,400,e,0.18217107981943115,0.18210336789941972,0.23769410833735072,0.12769642872330308,0.1276830603485025,0.325437900799577,train,False,1932
0,100,c,0.14158574464094625,0.1386165391075191,0.13379068278949113,0.019816187280360466,0.019683120972126673,0.7380792470042844,train,False,1933
1,100,d,0.004590049854164146,0.004590040264907964,0.004468347272604719,0.0010560547196769576,0.0010542528824439578,0.025317117088483592,train,False,1933
2,100,e,0.2132257548771479,0.21322526891761417,0.277581856299803,0.1483360381694311,0.148331674649791,0.3618760484483331,train,False,1933
3,400,c,0.0579669912569028,0.05811277994528659,0.08209811535763124,0.010385189099892785,0.010345137348478061,0.5250172520373393,train,False,1933
4,400,d,0.005132601021966816,0.005130441028873552,0.004555529744426498,0.010426443947856096,0.010426367533617925,0.1197380399985386,train,False,1933
5,400,e,0.18738864484498627,0.18740420041722738,0.3149213128801809,0.13559079921463532,0.13558033505293476,0.3542891269381067,train,False,1933
0,100,c,0.05087637360245823,0.05117422117805516,0.06452746476201371,0.04120149615923708,0.04113627360243825,0.6849880914478192,train,False,1934
1,100,d,0.005130448231248466,0.005130405458340554,0.004127316674472669,-0.005670585336574358,-0.005670509978148672,0.10645638886451707,train,False,1934
2,100,e,0.17580035459092858,0.17529276030996185,0.2749341286933616,0.143307866208845,0.14329393534190868,0.32030693611132394,train,False,1934
3,400,c,0.05568034174806392,0.05566317961864124,0.0738968733882452,-0.00838088039758162,-0.008458701309493862,0.5109536825296028,train,False,1934
4,400,d,0.005678969454151433,0.005683407264214706,0.006218398683071995,-0.004766128783108456,-0.004767774497009328,0.005139827512276493,train,False,1934
5,400,e,0.154976992218108,0.15500959990819374,0.2311715242129103,0.15542015132742593,0.1554217544832372,0.3479104161592238,train,False,1934
0,100,c,0.08226581377636982,0.08226747212498108,0.0617280917186183,-0.024904507825541912,-0.024919818211856466,0.86337242264572,train,False,1935
1,100,d,0.013960830662066182,0.024870966032303612,0.021818172696351664,0.009221731520591447,0.0004645239106195653,0.1298203827614473,train,False,1935
2,100,e,0.23741644775406104,0.2374188860893226,0.3515344540656281,0.12963686199115,0.12962867870289554,0.25307501061033766,train,False,1935
3,400,c,0.0785568325258919,0.07859007445043181,0.07078350896879611,0.09040590431201181,0.09039510290539923,0.5717668118040135,train,False,1935
4,400,d,0.007267182125095472,0.007266903326400462,0.009460516031541683,0.00875880184760895,0.008758833245803234,0.10121919448330534,train,False,1935
5,400,e,0.21458783116190167,0.2145840348798348,0.2829260220494809,0.15886351901935733,0.1588525811086064,0.32368582302539733,train,False,1935
0,100,c,0.05664888658276256,0.05666111983702527,0.058042273448273896,-0.01337194967034236,-0.01339102847404064,0.8494319121331833,train,False,1936
1,100,d,0.005240238952282035,0.005244497131091266,0.004356920616557758,0.003944343550432237,0.003943740748004121,0.05111093012934113,train,False,1936
2,100,e,0.18582681078397986,0.18582414421660545,0.31609902010099755,0.12082181505605451,0.12081595872524954,0.30835636843869624,train,False,1936
3,400,c,0.05407435845108257,0.054082528633144646,0.07490337279447845,0.03384459225549442,0.033854962067424665,0.7342012953518022,train,False,1936
4,400,d,0.004305207578643496,0.007301686740263956,0.005267771097605084,-0.0026117244554263942,-0.004335501330444825,0.02745094306942809,train,False,1936
5,400,e,0.1531870677268285,0.1556937882949686,0.27014411602983585,0.16518753725994947,0.16820765480385994,0.31623515608345437,train,False,1936
0,100,c,0.05434746947943794,0.05434705119445557,0.07322687193407584,0.05882563649927675,0.058813462990196116,0.876759263932959,train,False,1937
1,100,d,0.0048276821599965375,0.00483514337545772,0.004758264255991998,0.0007242292444165344,0.0007151992411656849,0.03303084370284925,train,False,1937
2,100,e,0.25597437767365777,0.2560457000544436,0.23107681404737293,0.07343926495394115,0.0734256120920334,0.4528507345393768,train,False,1937
3,400,c,0.060277813070886935,0.06027001096086752,0.08655191853153264,0.09363901578611021,0.09363165011503696,0.609719110894208,train,False,1937
4,400,d,0.005266481917259313,0.005271387408318442,0.006485760453661021,0.005472316415858423,0.005467824017878069,0.03029690255316163,train,False,1937
5,400,e,0.18280072638639921,0.1828025554114929,0.23950500511798536,0.1443093788709311,0.14430327333629323,0.3067074695657069,train,False,1937
0,100,c,0.07503718697640703,0.06596170629024764,0.1062260277533107,-0.03322787582073289,-0.044312505197825945,0.912363131690935,train,False,1938
1,100,d,0.005795755429537554,0.0057959209785052946,0.008646531611449494,-0.005850908887651318,-0.0058513133044188065,-0.0010063676615112804,train,False,1938
2,100,e,0.133657815096936,0.13362116947891023,0.16950094031561297,0.06334230011116514,0.06333395880567114,0.34347085760383583,train,False,1938
3,400,c,0.05762282987733745,0.0576235997332121,0.09352740202400728,0.03982924977168537,0.03982552683644613,0.3378484342000274,train,False,1938
4,400,d,0.01269363902846141,0.012697389463986025,0.004964132260442656,0.0030017318906530124,0.0030005976183753802,0.0648061354188923,train,False,1938
5,400,e,0.15723823232776568,0.1572488274187718,0.21909907721193098,0.13437371196992728,0.13436656792535537,0.3071591975789126,train,False,1938
0,100,c,0.16004284438055838,0.15963232926751933,0.11023938027022334,0.050787425127072156,0.05078238196531025,0.7592218647699533,train,False,1939
1,100,d,0.010181331789912039,0.010184799955035143,0.0074570259173423695,-0.0010184997145542597,-0.0010193619868936565,0.04949875601060635,train,False,1939
