,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter,m,n,experiment
80,SURE-PM NPMLEinit,2.043578839815957,2.0435933611798736,2.043585095216912,2.043586338561008,6,100,j
81,SURE-PM random,2.0438170096002946,2.047098987936911,2.044330038883788,2.043964834007369,6,100,j
82,SURE-PM random,2.0438132863339913,2.0474196944964227,2.0443271401904464,2.0439598277928983,6,100,j
83,SURE-PM random,2.043822401263317,2.0486291482004355,2.044408038293243,2.043979264530051,6,100,j
84,SURE-PM random,2.0438836318389417,2.0493952464922573,2.0444990204962776,2.043988803847284,6,100,j
85,SURE-PM random,2.0438328894135567,2.0489637202017277,2.0445017066273024,2.0440073159011787,6,100,j
86,SURE-PM random,2.043829221928086,2.0480278792560784,2.044422101478707,2.0439940996384496,6,100,j
87,SURE-PM random,2.04381667465305,2.0471213927725787,2.044344427061209,2.043968006112176,6,100,j
88,SURE-PM random,2.043838459224046,2.0494923573128974,2.0445234469854654,2.044011471305814,6,100,j
89,SURE-PM random,2.04383168251063,2.049590007185229,2.044471294544229,2.0440025456339357,6,100,j
90,SURE-PM random,2.043826239528834,2.0480109103704853,2.0444166826133245,2.0439893639917317,6,100,j
91,NPMLE,28.948760856167127,,,,7,100,j
92,SURE-PM uniform,2.0844426471804196,2.088493591481888,2.0850213158101965,2.08458363840493,7,100,j
93,SURE-PM NPMLEinit,2.0842525805601633,2.08431056839569,2.0842588336493746,2.0842542594753684,7,100,j
94,SURE-PM random,2.084451754104832,2.0893465361895416,2.0851670626008127,2.084611298289427,7,100,j
95,SURE-PM random,2.084445918454053,2.088645951354181,2.0851100793314834,2.084602018676336,7,100,j
96,SURE-PM random,2.0844530994767627,2.088444299244529,2.0850658359379746,2.08458936357635,7,100,j
97,SURE-PM random,2.0844585749034628,2.089399090059877,2.0851209734337908,2.0846055809364827,7,100,j
98,SURE-PM random,2.0844354863801016,2.0879043982923973,2.084975955528664,2.08456711116419,7,100,j
99,SURE-PM random,2.0844590858815093,2.08867890506384,2.0851349051827084,2.0846093796460674,7,100,j
100,SURE-PM random,2.0844572192105533,2.089024725677583,2.0852130091843106,2.084667998146599,7,100,j
101,SURE-PM random,2.0844517833017404,2.0886123251212734,2.085122190820641,2.084619298113129,7,100,j
102,SURE-PM random,2.0844536983884474,2.0887925177823674,2.0851625752860583,2.0846185207527266,7,100,j
103,SURE-PM random,2.084501545549508,2.08826803427831,2.0850394249901147,2.084590579411913,7,100,j
104,NPMLE,28.04375219905648,,,,8,100,j
105,SURE-PM uniform,1.890687908386061,1.8977461226235313,1.8923783177634357,1.8911004133174425,8,100,j
106,SURE-PM NPMLEinit,1.8902657509122014,1.890345355851092,1.8902806828622227,1.8902698958539441,8,100,j
107,SURE-PM random,1.8906338113389223,1.8983342996371482,1.8923685575460547,1.8910072628930892,8,100,j
108,SURE-PM random,1.8906146444512604,1.897421032409618,1.8921229173165421,1.8910228642319624,8,100,j
109,SURE-PM random,1.8906507962273622,1.898217986305251,1.8923704276005548,1.8910353283917982,8,100,j
110,SURE-PM random,1.890656242747192,1.8986270743870513,1.8924175258842058,1.8910543888291762,8,100,j
111,SURE-PM random,1.8906662455017011,1.8982851252373485,1.8924741038170203,1.8910709547384534,8,100,j
112,SURE-PM random,1.8906268954186396,1.8975615302005633,1.892298979613423,1.890997909866652,8,100,j
113,SURE-PM random,1.89061910062444,1.897592965574021,1.8921180998387093,1.8909546728080375,8,100,j
114,SURE-PM random,1.8906366082522754,1.8976864652292067,1.8921975816480676,1.8909926067238325,8,100,j
115,SURE-PM random,1.8906439231725165,1.8977987978304305,1.892272665050341,1.8910209740354582,8,100,j
116,SURE-PM random,1.890659672872955,1.898130550293455,1.8924575945153628,1.8910763658903387,8,100,j
117,NPMLE,18.18532562636129,,,,9,100,j
118,SURE-PM uniform,1.9207366761977551,1.9267431801567545,1.9223514695012978,1.9211574738202761,9,100,j
119,SURE-PM NPMLEinit,1.9315687539516408,1.9320039820662815,1.9316811185606708,1.9315997084615162,9,100,j
120,SURE-PM random,1.920741352214177,1.9264407409843238,1.922171687116129,1.9211032461879165,9,100,j
121,SURE-PM random,1.920772625385398,1.926287573125071,1.9222733837184387,1.9211871220135026,9,100,j
122,SURE-PM random,1.9207781695632786,1.927211354400216,1.9225057781479835,1.9212368616873323,9,100,j
123,SURE-PM random,1.920764931908999,1.9273059224059261,1.922453878783483,1.9211962711471642,9,100,j
124,SURE-PM random,1.920718928035801,1.9266490477586466,1.9222912850206455,1.921106826409698,9,100,j
125,SURE-PM random,1.9206961927533417,1.9260730325778888,1.9222051193875245,1.9210711814791113,9,100,j
126,SURE-PM random,1.920719109820044,1.9266549121016192,1.9222895678841132,1.9211116726292221,9,100,j
127,SURE-PM random,1.9207194041933677,1.926743546678665,1.9223091238271126,1.921123244405776,9,100,j
128,SURE-PM random,1.9207128347247089,1.927540134481643,1.9222773977360055,1.9210942009704057,9,100,j
129,SURE-PM random,1.9207529538853783,1.9269012085885264,1.9223718203293447,1.9211660248222824,9,100,j
