,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter
80,SURE-PM NPMLEinit,0.07178357147561513,0.0718132476751589,0.07179245118037017,0.07178631454606503
81,SURE-PM random,0.07197401736090299,0.07269303463372978,0.07207535313142081,0.07199681660248565
82,SURE-PM random,0.07197469695117689,0.07267279373424955,0.07206412601049493,0.07199528389333658
83,SURE-PM random,0.07197754956158861,0.07280891292994213,0.0721063147263407,0.07200570588381013
84,SURE-PM random,0.07197753150086307,0.07285057160840772,0.07211363695584161,0.07200707535867956
85,SURE-PM random,0.07197366701584507,0.07270949911665923,0.07207534317009319,0.07199627448932645
86,SURE-PM random,0.0719749527276619,0.07279477088473335,0.07209254940898994,0.07199970971816334
87,SURE-PM random,0.07197508896737027,0.07280010247730871,0.0720912652161357,0.07199998632844441
88,SURE-PM random,0.0719784252694754,0.0728475191572565,0.07211051734330141,0.07200705762605068
89,SURE-PM random,0.0719764212659517,0.07282883401214064,0.07211056656037194,0.0720056951207306
90,SURE-PM random,0.07197669977618404,0.07281249535398715,0.07210343236559502,0.07200395196156777
91,NPMLE,0.4371089705321937,,,
92,SURE-PM uniform,0.053968268086022064,0.05465024675881899,0.05406532488752497,0.05398815795204854
93,SURE-PM NPMLEinit,0.0539467176164483,0.0539467181847521,0.053946717956537715,0.05394671776395406
94,SURE-PM random,0.05396684427223967,0.05458730285538252,0.0540439006373498,0.05398374892157286
95,SURE-PM random,0.053969653696734454,0.05461639407465263,0.05405993415846552,0.05398970502310199
96,SURE-PM random,0.053966489863925916,0.054683236687368936,0.05406478146399991,0.053985267637498356
97,SURE-PM random,0.05396885593059317,0.05469104502681695,0.05407853479046345,0.05399133584556367
98,SURE-PM random,0.05396701771432355,0.05459081452797868,0.05405266799287652,0.053985205788207015
99,SURE-PM random,0.05396714022023609,0.05462131432639488,0.05405727028299971,0.05398591624584846
100,SURE-PM random,0.0539693538949232,0.0546527744035091,0.05407412790245722,0.05399179243237718
101,SURE-PM random,0.053967461001609464,0.05471318265719411,0.05407166001099647,0.05398806504195619
102,SURE-PM random,0.053968160101356445,0.054663788653986106,0.054069193280190934,0.05398888815142108
103,SURE-PM random,0.053963911583390214,0.05467267139501324,0.054060636239841246,0.053982525767953295
104,NPMLE,0.7195898416839315,,,
105,SURE-PM uniform,0.09318609726736647,0.09365168812869812,0.09326628197735375,0.09320395116052374
106,SURE-PM NPMLEinit,0.09317574043302827,0.0931816979580124,0.0931773498159336,0.09317619943177896
107,SURE-PM random,0.09318499015209226,0.09362640000246579,0.09326034294434983,0.093201504546373
108,SURE-PM random,0.09318629694029142,0.09364374179373129,0.09326360925436739,0.0932032544340531
109,SURE-PM random,0.09318600295548897,0.09366228282167846,0.09326797031215107,0.09320436443866427
110,SURE-PM random,0.09318666263972233,0.09365097253944918,0.09326632440925046,0.09320479351898442
111,SURE-PM random,0.09318358441665751,0.09361430348923797,0.09325336540784818,0.0931973904082615
112,SURE-PM random,0.09318531669807854,0.09363438817711284,0.0932586298856279,0.09320089952533323
113,SURE-PM random,0.09318616302258818,0.09364860751806858,0.09326401927036017,0.09320326431267638
114,SURE-PM random,0.09318760412425987,0.09369062555173514,0.09327762157359373,0.09320776777453751
115,SURE-PM random,0.09318703537473283,0.0936497385883881,0.0932671137288029,0.09320514167931236
116,SURE-PM random,0.09318478682342914,0.09365817258138805,0.09326540765219918,0.09320222901560982
117,NPMLE,0.4852690991093496,,,
118,SURE-PM uniform,-0.01373624060800907,-0.012937229084405288,-0.013470570490811724,-0.013725868514291762
119,SURE-PM NPMLEinit,-0.013220142461925164,-0.013163696035796306,-0.013219229620045354,-0.013219857087723668
120,SURE-PM random,-0.013736504217773558,-0.012985722762436466,-0.01355057566658438,-0.013716004206677894
121,SURE-PM random,-0.013737877456243837,-0.012924041137243308,-0.013422672997233605,-0.01372377578396538
122,SURE-PM random,-0.013738020556028161,-0.012949523897909074,-0.013507353893713017,-0.013722922703535546
123,SURE-PM random,-0.013735942033737559,-0.012941380819892174,-0.013436722312473108,-0.013710149162605632
124,SURE-PM random,-0.013738877364096994,-0.01295156444877449,-0.01355848379980003,-0.013727138001933384
125,SURE-PM random,-0.013738114291021333,-0.012921334560007694,-0.013412826384408447,-0.013727274278407578
126,SURE-PM random,-0.01373763727426244,-0.01295525937686449,-0.01352572416246332,-0.013723863217179968
127,SURE-PM random,-0.013734433600725567,-0.012914929900778346,-0.013237598344558706,-0.013718903707035395
128,SURE-PM random,-0.013737803715673565,-0.012927684097947747,-0.013429605181765397,-0.013721646391130236
129,SURE-PM random,-0.013738698156516236,-0.012944019580099705,-0.013488341650676005,-0.01372552502157916
