,mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
3,7,50,0.0015921940281017595,-0.0787315949311444,0.0015926175094575213,-0.07876865935027945,0.02544264799742232,-0.07323362453103141,0.36416340210023,0.2419735046099704,1.922164304209217,1.7800312312892457,0.0023795620919051367,-1577.5647915179302,5.026494734362458,1.324460213785891,0.0016014645797050773,-0.07875030917351512,0.0002470675229560942
0,3,50,0.196234693991591,0.13263204027806477,0.1962310600149453,0.13263305648701065,0.21162372036024518,0.15071980830916892,0.20033266631966457,0.1349306887775242,0.20048633329085613,0.13487236541855488,0.19593184772197442,-1538.977585290057,0.3421055078331956,0.654226302143747,0.19623503076166712,0.13262018313773843,0.19603917370479923
1,4,50,0.13067390337158438,0.05798405379338556,0.13059036211087324,0.0580216237758641,0.14048515772131306,0.07318097562634808,0.16216339183453493,0.11999065754924096,0.16211179208699386,0.11986075760924995,0.12197356545986195,-1573.527255696011,0.9667536867095677,0.907959744527055,0.1306141937616369,0.05796011588771944,0.11703070129171361
2,5,50,0.09798330511361442,0.027625857913642905,0.0984569563696558,0.02775656414152468,0.1222268059140224,0.03841170258833313,0.22778019011744519,0.15322574522512672,0.22152908310834207,0.15730071094773576,0.09123489766956129,-1602.0613328469597,1.201755095063786,1.027276315508332,0.09797598400494335,0.027594082836188135,0.08460688167357415
3,7,50,0.01023722049794859,0.002007842721875477,0.010154179301815362,0.0020705573695638576,0.006741289388584828,0.009747762063365712,0.3728873263367544,0.3198384939496341,1.8784541858643873,1.7477397696623342,0.007297094199416867,-1619.2776991132232,3.8908283603759903,1.3223491670271637,0.004532253164260603,0.005162572675034085,9.003545399154426e-07
0,3,50,0.12265655981270289,0.12191993560247374,0.12161730115432107,0.12046906308824964,0.14804003892495243,0.12866246192749373,0.11887762679256499,0.14178961700002332,0.1132093648737986,0.14486877359587447,0.11493047958639496,-1577.582693198936,0.29157325503712084,0.7276033148617964,0.1218698002512689,0.12040227556314903,0.10763072376937853
1,4,50,0.13902196454398782,0.09765322636795623,0.13848765686883194,0.09804050736984232,0.16671476398131607,0.10778588018227947,0.16297676391970653,0.17669485076998218,0.16246668340834575,0.17659049217077563,0.14032702527282856,-1603.3339052393592,1.0436122821274412,0.9157325392823855,0.14705744404720314,0.0913411236472623,0.12933838148972363
2,5,50,0.07662056226118835,0.028109398588230305,0.07287487664202003,0.028360680364170093,0.10392683150067958,0.048528133793238795,0.1645312585577636,0.16021108900593617,0.15611022238701575,0.16677931212734778,0.06414282084090137,-1609.5842160737648,1.2909387374549133,1.0799090570345102,0.07255436410898652,0.027804458725331188,0.05499438042017879
3,7,50,0.05013696407956902,0.057379176395550534,0.022995434753467724,0.057996129331038905,0.05510053511757733,0.0628814236033777,0.40356423595498936,0.3605603799103919,1.834451678274577,1.70818654290714,0.03685820674253336,-1647.426590180476,3.916578874483642,1.309897154040622,0.023127830657141902,0.0581232039325289,0.024030232408202467
0,3,50,0.15033733058714444,0.11078124978087954,0.15032982207736192,0.1107149540253231,0.16573212379152982,0.1250997682959703,0.15072252560504537,0.12745982031022526,0.15071439564682232,0.12739498956479656,0.15240519879985653,-1548.2318979824888,0.5041627849611516,0.715588703743078,0.15161686977492878,0.11011653334378184,0.146762643728269
1,4,50,0.07007028420986935,0.08433967908355294,0.0700297443332226,0.08432949966677825,0.08128415980141113,0.10016832136396192,0.14404351989365308,0.14098634153450917,0.14429574775566528,0.14093965353784096,0.07371425324895117,-1584.8468114649556,0.7413249635921338,0.8390362105965367,0.07007324658891834,0.08431687935726905,0.06749424223495208
2,5,50,0.061700846521405395,0.01227501470631023,0.0616724591994845,0.012278842115018961,0.06920333866627142,0.015717848457845775,0.19504640493001316,0.13225049235839015,0.19563777203284236,0.13197758641043447,0.05310603073947487,-1594.0532593003786,1.4328245482189401,1.0248802052803687,0.06166159544181934,0.012263699268342521,0.0328092190710007
3,7,50,0.012460490567494634,0.06766698447738691,0.012657295807854076,0.06771383781680561,0.0085655805109429,0.07065948862208689,0.3068140986666622,0.3930572458432409,1.8444983566672983,1.945160208421953,0.01147966828185973,-1653.0729927699854,4.096215967247669,1.3482676639326556,0.012419689538588975,0.06770728812730135,9.335943568173142e-06
0,3,500,0.49339859321550045,0.45876473791898026,0.4934002462146937,0.4587937775907626,0.5137032776559879,0.48222771116782814,0.4925312802219615,0.4593204436615759,0.49211790741197076,0.46191319853672713,0.49243232894579864,-1947.2935168200324,1.761736954105334,0.8762234417808945,0.4933989540727684,0.4587642849493334,0.4930598580300757
1,4,500,0.24168718952454665,0.2085420596918175,0.2416801574323943,0.20848840166826996,0.2469602386685053,0.24181683144898558,0.29406050591410476,0.2815373022639278,0.29392889015712725,0.28127498859103867,0.24153267284309915,-2027.8054019255553,3.806664087556519,1.1410213439188068,0.24167480270817948,0.2084807385877241,0.23968366653013962
